# Verb argument-slot filler profiles, recovered from BHSA syntax (via Context-Fabric
# annotation, cached in resources/occurrences/hbo.db + hbo_syntax.db -- no corpus mount
# needed). slot in {Subj, Objc, Cmpl, PreC}. count: occurrences across the OT.
# Raw material for the text-anchored yardstick -- see
# internal-docs/text-anchored-semantics-plan.md. Not SDBH-derived.
verb_strong	slot	filler_strong	count
H1961	Subj	H1697	163
H0559	Subj	H4428	149
H0935	Cmpl	H1004	149
H0559	Subj	H0430	147
H5414	Cmpl	H3027	132
H6213	Objc	H3605	125
H0559	Subj	H6635	115
H8085	Cmpl	H6963	114
H1129	Objc	H1004	110
H7121	Objc	H8034	108
H8085	Objc	H1697	107
H1961	Subj	H3605	97
H1961	Subj	H1121	91
H0935	Subj	H3605	85
H3205	Objc	H1121	85
H0935	Cmpl	H0776	84
H1980	Cmpl	H1870	83
H5414	Objc	H0776	78
H0935	Subj	H1121	76
H0935	Cmpl	H4428	74
H0559	Cmpl	H4428	72
H1961	PreC	H1121	72
H1980	Cmpl	H0310	72
H5414	Cmpl	H1121	72
H1696	Cmpl	H1121	71
H5975	Cmpl	H6440	70
H8085	Objc	H6963	69
H5414	Objc	H3605	67
H0398	Objc	H3899	64
H0559	Cmpl	H1121	64
H3947	Objc	H1121	64
H0559	Cmpl	H5971	62
H1696	Objc	H1697	60
H3947	Cmpl	H3027	60
H3947	Objc	H3605	60
H3947	Objc	H0802	59
H7971	Objc	H3027	58
H3772	Objc	H1285	57
H7971	Objc	H4397	57
H8104	Objc	H4687	57
H6213	Objc	H1697	56
H6213	Objc	H2091	54
H7971	Cmpl	H4428	54
H0935	Subj	H4428	53
H2734	Subj	H0639	53
H8313	Cmpl	H0784	53
H0559	Cmpl	H3605	52
H3423	Objc	H0776	52
H6213	Subj	H1121	52
H0935	Cmpl	H5892	51
H1961	PreC	H8141	51
H6213	Objc	H4941	51
H1961	PreC	H0776	50
H1961	PreC	H5971	50
H5375	Objc	H5869	50
H5414	Subj	H0430	50
H5927	Objc	H5930	50
H7971	Subj	H4428	50
H5307	Cmpl	H6440	49
H1961	PreC	H3605	48
H5337	Cmpl	H3027	48
H1961	PreC	H0430	46
H5414	Cmpl	H6440	46
H5647	Objc	H0430	46
H6213	Cmpl	H3605	46
H0559	Subj	H0376	45
H3427	Cmpl	H0776	45
H7200	Objc	H3605	45
H5927	Subj	H4428	44
H0559	Subj	H1121	43
H1961	PreC	H0376	43
H1961	PreC	H3967	43
H4672	Objc	H2580	43
H5414	Objc	H3701	43
H0935	Subj	H0376	42
H3318	Cmpl	H0776	42
H5414	Cmpl	H4428	42
H1961	PreC	H5650	41
H1961	Subj	H0376	41
H5221	Objc	H3605	41
H7901	Cmpl	H0001	41
H4672	Cmpl	H5869	40
H7121	Cmpl	H8034	40
H7291	Cmpl	H0310	40
H1129	Objc	H4196	39
H1980	Cmpl	H0776	39
H3947	Objc	H1323	39
H8354	Objc	H4325	39
H1961	Subj	H0430	38
H1961	Subj	H3027	38
H3947	Objc	H8147	38
H5414	Cmpl	H3605	38
H1961	Cmpl	H1121	37
H2388	Subj	H1121	37
H8085	Subj	H3605	37
H0935	Cmpl	H6440	36
H1961	PreC	H0505	36
H1961	PreC	H6440	36
H5927	Cmpl	H2022	36
H0398	Objc	H3605	35
H0559	Subj	H3605	35
H1961	PreC	H6944	35
H5414	Objc	H5892	35
H6213	Subj	H0430	35
H7650	Cmpl	H0001	35
H0559	Subj	H5971	34
H1961	PreC	H0996	34
H3318	Cmpl	H6440	34
H3526	Objc	H0899	34
H5927	Cmpl	H0776	34
H6213	Subj	H0001	34
H7725	Cmpl	H0776	34
H1961	PreC	H1004	33
H1980	Cmpl	H6440	33
H6213	Subj	H4428	33
H8104	Objc	H4931	33
H0935	Cmpl	H0168	32
H1980	Cmpl	H0430	32
H3318	Subj	H1121	32
H5414	Cmpl	H0776	32
H8104	Objc	H3605	32
H0398	Objc	H1320	31
H1961	PreC	H0259	31
H1961	PreC	H0802	31
H1980	Cmpl	H1004	31
H5674	Cmpl	H0776	31
H7200	Subj	H5869	31
H7364	Cmpl	H4325	31
H8085	Subj	H4428	31
H0559	Cmpl	H0376	30
H1961	Subj	H0776	30
H4191	Subj	H1121	30
H5046	Objc	H1697	30
H5186	Objc	H3027	30
H6213	Objc	H1419	30
H6213	Objc	H6086	30
H6680	Objc	H1121	30
H7121	Subj	H8034	30
H7971	Objc	H1121	30
H8104	Objc	H2708	30
H1961	Subj	H1366	29
H1961	Subj	H3117	29
H3205	Objc	H1323	29
H3947	Objc	H0376	29
H5127	Cmpl	H6440	29
H5414	Cmpl	H0001	29
H5414	Cmpl	H1004	29
H5414	Objc	H1323	29
H6213	Objc	H2617	29
H1540	Objc	H6172	28
H1696	Cmpl	H3605	28
H1696	Objc	H3605	28
H1961	PreC	H2568	28
H3318	Subj	H4428	28
H3947	Cmpl	H1121	28
H3947	Objc	H0259	28
H4191	Subj	H0376	28
H6213	Cmpl	H4428	28
H8085	Cmpl	H0430	28
H8210	Objc	H1818	28
H8354	Objc	H3196	28
H0559	Cmpl	H5650	27
H0559	Subj	H0802	27
H0935	Cmpl	H4264	27
H0935	Objc	H3605	27
H1961	Cmpl	H3605	27
H1961	Subj	H5892	27
H2076	Objc	H2077	27
H5046	Objc	H3605	27
H5375	Objc	H5771	27
H5641	Objc	H6440	27
H6213	Objc	H8147	27
H6999	Cmpl	H4196	27
H7971	Objc	H0376	27
H1696	Subj	H0430	26
H1961	PreC	H5769	26
H3372	Objc	H0430	26
H5186	Objc	H0241	26
H5414	Objc	H5159	26
H6965	Objc	H1697	26
H7200	Objc	H1121	26
H0935	Subj	H0430	25
H0935	Subj	H5971	25
H1961	Subj	H1004	25
H1980	Cmpl	H3605	25
H3318	Subj	H3605	25
H3772	Cmpl	H5971	25
H5375	Objc	H6440	25
H5414	Objc	H0505	25
H5927	Cmpl	H1004	25
H5927	Subj	H3605	25
