# Hebrew Strong's pairs sharing a Wiktionary root category (CC BY-SA, kaikki.org wiktextract extract
# of English Wiktionary's Hebrew entries). Validated 2026-08 at 35.0% SDBH-domain agreement on its
# own — weaker than BDB (50.6%); real value is as a second vote alongside xling (agreement jumps
# to 87.7% on the intersection) — see domain-replacement-roadmap.md. See build_wiktionary_roots.py.
strong_a	strong_b	root
H0009	H0010	א־ב־ד
H0009	H0011	א־ב־ד
H0009	H0012	א־ב־ד
H0009	H0013	א־ב־ד
H0010	H0011	א־ב־ד
H0010	H0012	א־ב־ד
H0010	H0013	א־ב־ד
H0011	H0012	א־ב־ד
H0011	H0013	א־ב־ד
H0012	H0013	א־ב־ד
H0020	H0982	ב־ט־ח
H0034	H0189	א־ב־ה
H0044	H0074	א־ב
H0044	H0087	א־ב
H0044	H5826	ע־ז־ר
H0044	H5828	ע־ז־ר
H0044	H5829	ע־ז־ר
H0046	H0047	א־ב־ר
H0046	H0082	א־ב־ר
H0046	H0083	א־ב־ר
H0046	H0084	א־ב־ר
H0047	H0082	א־ב־ר
H0047	H0083	א־ב־ר
H0047	H0084	א־ב־ר
H0053	H7965	ש־ל־ם
H0053	H7966	ש־ל־ם
H0053	H7967	ש־ל־ם
H0074	H0087	א־ב
H0082	H0083	א־ב־ר
H0082	H0084	א־ב־ר
H0083	H0084	א־ב־ר
H0087	H4791	ר־ו־ם
H0087	H4792	ר־ו־ם
H0087	H7318	ר־ו־ם
H0087	H7410	ר־ו־ם
H0087	H8641	ר־ו־ם
H0092	H5046	נ־ג־ד
H0092	H5047	נ־ג־ד
H0092	H5048	נ־ג־ד
H0092	H5057	נ־ג־ד
H0095	H0104	א־ג־ר
H0117	H0155	א־ד־ר
H0123	H0125	א־ד־ם
H0123	H0126	א־ד־ם
H0123	H0127	א־ד־ם
H0123	H0128	א־ד־ם
H0125	H0126	א־ד־ם
H0125	H0127	א־ד־ם
H0125	H0128	א־ד־ם
H0126	H0127	א־ד־ם
H0126	H0128	א־ד־ם
H0127	H0128	א־ד־ם
H0134	H0135	א־ד־ן
H0157	H0160	א־ה־ב
H0198	H0361	א־ל־ם
H0198	H0362	א־ל־ם
H0198	H0481	א־ל־ם
H0198	H0482	א־ל־ם
H0198	H0483	א־ל־ם
H0198	H0488	א־ל־ם
H0198	H0489	א־ל־ם
H0198	H0490	א־ל־ם
H0198	H0491	א־ל־ם
H0201	H3982	א־מ־ר
H0201	H3983	א־מ־ר
H0214	H0686	א־צ־ר
H0214	H0687	א־צ־ר
H0219	H3974	א־ו־ר
H0225	H0226	א־ו־ת
H0235	H0236	א־ז־ל
H0235	H0237	א־ז־ל
H0236	H0237	א־ז־ל
H0249	H2224	ז־ר־ח
H0249	H2225	ז־ר־ח
H0249	H2226	ז־ר־ח
H0314	H0317	א־ח־ר
H0314	H0319	א־ח־ר
H0314	H0320	א־ח־ר
H0317	H0319	א־ח־ר
H0317	H0320	א־ח־ר
H0319	H0320	א־ח־ר
H0350	H3519	כ־ב־ד
H0361	H0362	א־ל־ם
H0361	H0481	א־ל־ם
H0361	H0482	א־ל־ם
H0361	H0483	א־ל־ם
H0361	H0488	א־ל־ם
H0361	H0489	א־ל־ם
H0361	H0490	א־ל־ם
H0361	H0491	א־ל־ם
H0362	H0481	א־ל־ם
H0362	H0482	א־ל־ם
H0362	H0483	א־ל־ם
H0362	H0488	א־ל־ם
H0362	H0489	א־ל־ם
H0362	H0490	א־ל־ם
H0362	H0491	א־ל־ם
H0367	H0517	א־מ־ם
H0376	H0583	א־נ־שׁ
H0376	H0605	א־נ־שׁ
H0376	H5386	א־נ־שׁ
H0386	H0387	י־ת־ן
H0386	H0388	י־ת־ן
H0387	H0388	י־ת־ן
H0394	H0395	א־כ־ז־ר
H0396	H0402	א־כ־ל
H0396	H3978	א־כ־ל
H0402	H3978	א־כ־ל
H0451	H0452	א־ל־ה
H0472	H1403	א־ל
H0472	H4317	א־ל
H0472	H5741	א־ל
H0472	H6005	א־ל
H0472	H7501	א־ל
H0481	H0482	א־ל־ם
H0481	H0483	א־ל־ם
H0481	H0488	א־ל־ם
H0481	H0489	א־ל־ם
H0481	H0490	א־ל־ם
H0481	H0491	א־ל־ם
H0482	H0483	א־ל־ם
H0482	H0488	א־ל־ם
H0482	H0489	א־ל־ם
H0482	H0490	א־ל־ם
H0482	H0491	א־ל־ם
H0483	H0488	א־ל־ם
H0483	H0489	א־ל־ם
H0483	H0490	א־ל־ם
H0483	H0491	א־ל־ם
H0488	H0489	א־ל־ם
H0488	H0490	א־ל־ם
H0488	H0491	א־ל־ם
H0489	H0490	א־ל־ם
H0489	H0491	א־ל־ם
H0490	H0491	א־ל־ם
H0530	H0571	א־מ־ן
H0533	H3981	א־מ־ץ
H0536	H0537	א־מ־ל־ל
H0583	H0605	א־נ־שׁ
H0583	H5386	א־נ־שׁ
H0597	H0598	א־נ־ס
H0603	H0604	א־נ־ק
H0605	H5386	א־נ־שׁ
H0612	H0613	א־ס־ר
H0612	H0631	א־ס־ר
H0613	H0631	א־ס־ר
H0644	H3989	א־פ־ה
H0650	H0663	א־פ־ק
H0665	H0666	א־פ־ר
H0680	H0682	א־צ־ל
H0686	H0687	א־צ־ר
H0688	H6919	ק־ד־ח
H0688	H6920	ק־ד־ח
H0697	H0698	א־ר־ב
H0697	H0698	ר־ב־ה
H0697	H0699	א־ר־ב
H0697	H0699	ר־ב־ה
H0697	H3993	א־ר־ב
H0697	H7235	ר־ב־ה
H0697	H8635	ר־ב־ה
H0698	H0699	א־ר־ב
H0698	H0699	ר־ב־ה
H0698	H3993	א־ר־ב
H0698	H7235	ר־ב־ה
H0698	H8635	ר־ב־ה
H0699	H3993	א־ר־ב
H0699	H7235	ר־ב־ה
H0699	H8635	ר־ב־ה
H0707	H0708	א־ר־ג
H0707	H3296	א־ר־ג
H0708	H3296	א־ר־ג
H0710	H0711	א־ר־ג־ן
H0825	H0826	א־שׁ־ף
H0825	H0826	נ־שׁ־ף
H0825	H3244	נ־שׁ־ף
H0825	H5398	נ־שׁ־ף
H0825	H5399	נ־שׁ־ף
H0826	H3244	נ־שׁ־ף
H0826	H5398	נ־שׁ־ף
H0826	H5399	נ־שׁ־ף
H0842	H0843	א־שׁ־ר
H0857	H0858	א־ת־א
H0857	H0858	א־ת־ה
H0857	H2978	א־ת־ה
H0858	H2978	א־ת־ה
H0898	H0899	ב־ג־ד
H0905	H0906	ב־ד־ד
H0905	H0906	ב־ד־ה
H0905	H0907	ב־ד־ד
H0905	H0907	ב־ד־ה
H0905	H0909	ב־ד־ד
H0905	H0910	ב־ד־ד
H0905	H0911	ב־ד־ד
H0906	H0907	ב־ד־ד
H0906	H0907	ב־ד־ה
H0906	H0909	ב־ד־ד
H0906	H0910	ב־ד־ד
H0906	H0911	ב־ד־ד
H0907	H0909	ב־ד־ד
H0907	H0910	ב־ד־ד
H0907	H0911	ב־ד־ד
H0909	H0910	ב־ד־ד
H0909	H0911	ב־ד־ד
H0910	H0911	ב־ד־ד
H0913	H0914	ב־ד־ל
H0913	H0915	ב־ד־ל
H0914	H0915	ב־ד־ל
H0918	H0919	ב־ד־ק
H0936	H0937	ב־ו־ז
H0936	H0938	ב־ו־ז
H0936	H0957	ב־ו־ז
H0936	H0959	ב־ו־ז
H0936	H0961	ב־ו־ז
H0936	H5240	ב־ו־ז
H0937	H0938	ב־ו־ז
H0937	H0957	ב־ו־ז
H0937	H0959	ב־ו־ז
H0937	H0961	ב־ו־ז
H0937	H5240	ב־ו־ז
H0938	H0957	ב־ו־ז
H0938	H0959	ב־ו־ז
H0938	H0961	ב־ו־ז
H0938	H5240	ב־ו־ז
H0939	H0959	ב־ז־ה
H0939	H0961	ב־ז־ה
H0939	H5240	ב־ז־ה
H0948	H1000	ב־צ־ץ
H0951	H1230	ב־ק־ר
H0951	H1243	ב־ק־ר
H0952	H1305	ב־ר־ר
H0953	H1001	ב־ו־ר
H0953	H1002	ב־ו־ר
H0953	H5626	ב־ו־ר
H0954	H0955	ב־ו־שׁ
H0954	H3001	י־ב־שׁ
H0954	H3002	י־ב־שׁ
H0954	H3004	י־ב־שׁ
H0954	H3006	י־ב־שׁ
H0954	H3007	י־ב־שׁ
H0954	H4016	ב־ו־שׁ
H0955	H4016	ב־ו־שׁ
H0957	H0959	ב־ו־ז
H0957	H0959	ב־ז־ז
H0957	H0961	ב־ו־ז
H0957	H0961	ב־ז־ז
H0957	H5240	ב־ו־ז
H0957	H5240	ב־ז־ז
H0959	H0961	ב־ו־ז
H0959	H0961	ב־ז־ה
H0959	H0961	ב־ז־ז
H0959	H5240	ב־ו־ז
H0959	H5240	ב־ז־ה
H0959	H5240	ב־ז־ז
H0961	H5240	ב־ו־ז
H0961	H5240	ב־ז־ה
H0961	H5240	ב־ז־ז
H0965	H0966	ב־ז־ק
H0974	H0975	ב־ח־ן
H0974	H0976	ב־ח־ן
H0975	H0976	ב־ח־ן
H0990	H0991	ב־ט־ן
H0998	H0999	ב־י־ן
H1001	H1002	ב־ו־ר
H1001	H5626	ב־ו־ר
H1002	H5626	ב־ו־ר
H1037	H4407	מ־ל־א
H1051	H4832	ר־פ־א
H1051	H7495	ר־פ־א
H1051	H7496	ר־פ־א
H1051	H7497	ר־פ־א
H1051	H7498	ר־פ־א
H1051	H7499	ר־פ־א
H1051	H8644	ר־פ־א
H1058	H1059	ב־כ־ה
H1058	H1065	ב־כ־ה
H1059	H1065	ב־כ־ה
H1090	H1091	ב־ל־הּ
H1098	H1101	ב־ל־ל
H1098	H5034	ב־ל־ל
H1101	H5034	ב־ל־ל
H1116	H1117	ב־י־ם
H1124	H1129	ב־נ־ה
H1172	H1173	ב־ע־ל
H1172	H1175	ב־ע־ל
H1173	H1175	ב־ע־ל
H1197	H1198	ב־ע־ר
H1214	H1215	ב־צ־ע
H1216	H1217	ב־צ־ק
H1225	H4013	ב־צ־ר
H1225	H4014	ב־צ־ר
H1227	H1228	ב־ק־ב־ק
H1230	H1243	ב־ק־ר
H1234	H1235	ב־ק־ע
H1234	H1236	ב־ק־ע
H1234	H1237	ב־ק־ע
H1235	H1236	ב־ק־ע
H1235	H1237	ב־ק־ע
H1236	H1237	ב־ק־ע
H1263	H1293	ב־ר־ך
H1263	H1294	ב־ר־ך
H1263	H1295	ב־ר־ך
H1272	H1280	ב־ר־ח
H1272	H1281	ב־ר־ח
H1272	H1282	ב־ר־ח
H1277	H1278	ב־ר־א
H1280	H1281	ב־ר־ח
H1280	H1282	ב־ר־ח
H1281	H1282	ב־ר־ח
H1285	H1287	ב־ר־ה
H1293	H1294	ב־ר־ך
H1293	H1295	ב־ר־ך
H1294	H1295	ב־ר־ך
H1299	H1300	ב־ר־ק
H1299	H1301	ב־ר־ק
H1300	H1301	ב־ר־ק
H1310	H1311	ב־שׁ־ל
H1319	H1320	ב־שׂ־ר
H1319	H1321	ב־שׂ־ר
H1320	H1321	ב־שׂ־ר
H1334	H1335	ב־ת־ר
H1334	H1336	ב־ת־ר
H1335	H1336	ב־ת־ר
H1347	H1348	ג־א־ה
H1366	H1379	ג־ב־ל
H1366	H1380	ג־ב־ל
H1366	H1381	ג־ב־ל
H1375	H1389	ג־ב־ע
H1375	H1390	ג־ב־ע
H1377	H1403	ג־ב־ר
H1377	H1404	ג־ב־ר
H1379	H1380	ג־ב־ל
H1379	H1381	ג־ב־ל
H1380	H1381	ג־ב־ל
H1389	H1390	ג־ב־ע
H1403	H1404	ג־ב־ר
H1403	H4317	א־ל
H1403	H5741	א־ל
