lex	count	rank
ὁ	19783	0
καί	8978	1
αὐτός	5561	2
σύ	2892	3
δέ	2787	4
ἐν	2743	5
ἐγώ	2567	6
εἰμί	2457	7
λέγω	2255	8
εἰς	1766	9
οὐ	1622	10
ὅς	1407	11
οὗτος	1388	12
θεός	1311	13
ὅτι	1293	14
πᾶς	1242	15
μή	1060	16
γάρ	1038	17
Ἰησοῦς	913	18
ἐκ	913	19
ἐπί	886	20
κύριος	718	21
ἔχω	709	22
πρός	700	23
ὁράω	682	24
ἵνα	669	25
γίνομαι	668	26
διά	667	27
ἀπό	647	28
ἀλλά	638	29
ἔρχομαι	635	30
ποιέω	566	31
τίς	562	32
ἄνθρωπος	548	33
Χριστός	529	34
τὶς	529	35
ὡς	502	36
εἰ	501	37
οὖν	496	38
κατά	472	39
μετά	470	40
ἀκούω	428	41
δίδωμι	414	42
πολύς	413	43
πατήρ	412	44
ἡμέρα	389	45
πνεῦμα	379	46
υἱός	376	47
ἀδελφός	343	48
ἤ	343	49
ἐάν	337	50
εἷς	336	51
περί	333	52
λόγος	331	53
ἑαυτοῦ	320	54
οἶδα	320	55
λαλέω	298	56
οὐρανός	273	57
μαθητής	261	58
λαμβάνω	258	59
γῆ	250	60
ἐκεῖνος	244	61
μέγας	243	62
πίστις	243	63
πιστεύω	241	64
οὐδείς	235	65
ἅγιος	234	66
ἀποκρίνομαι	231	67
ὄνομα	229	68
γινώσκω	221	69
ὑπό	219	70
ἐξέρχομαι	217	71
ἀνήρ	216	72
γυνή	214	73
οὕτω	209	74
δύναμαι	209	75
τέ	209	76
θέλω	207	77
Ἰουδαῖος	194	78
νόμος	194	79
παρά	192	80
γράφω	192	81
εἰσέρχομαι	192	82
κόσμος	185	83
μέν	180	84
καθώς	179	85
εὑρίσκω	176	86
ἄγγελος	176	87
χείρ	176	88
ὄχλος	174	89
ἁμαρτία	173	90
ἔργον	169	91
δόξα	166	92
ἄν	164	93
πόλις	163	94
βασιλεία	162	95
ἔθνος	162	96
τότε	159	97
ἐσθίω	158	98
Παῦλος	158	99
Πέτρος	156	100
καρδία	156	101
πρῶτος	155	102
χάρις	155	103
ἄλλος	154	104
πορεύομαι	153	105
ἵστημι	153	106
ὑπέρ	150	107
καλέω	148	108
νῦν	148	109
ἕως	147	110
σάρξ	147	111
ὅστις	145	112
προφήτης	144	113
ἐγείρω	143	114
ἀφίημι	143	115
ἀγαπάω	143	116
λαός	142	117
σῶμα	142	118
πάλιν	141	119
ζάω	140	120
οὐδέ	140	121
Ἱεροσόλυμα	139	122
φωνή	139	123
ζωή	135	124
Ἰωάννης	134	125
δύο	133	126
βλέπω	133	127
ἀποστέλλω	132	128
νεκρός	128	129
σύν	128	130
ἀμήν	126	131
δοῦλος (II)	126	132
αἰών	124	133
ὅταν	123	134
ἀρχιερεύς	122	135
βάλλω	122	136
θάνατος	120	137
παραδίδωμι	119	138
δύναμις	119	139
πῶς	118	140
μένω	118	141
ζητέω	117	142
ἀπέρχομαι	117	143
ἀγάπη	116	144
βασιλεύς	115	145
μόνος	114	146
κρίνω	114	147
οἶκος	114	148
ἐκκλησία	114	149
ἴδιος	113	150
ἀποθνῄσκω	112	151
μέλλω	110	152
ὅσος	110	153
παρακαλέω	109	154
ἀλήθεια	109	155
ὅλος	108	156
ἀνίστημι	108	157
σῴζω	106	158
ὥρα	106	159
ψυχή	102	160
καλός	102	161
ἀγαθός	102	162
ἐξουσία	102	163
δεῖ	102	164
ὁδός	101	165
αἴρω	101	166
ὅτε	101	167
ὀφθαλμός	100	168
ἀλλήλων	100	169
τέκνον	99	170
τίθημι	99	171
Φαρισαῖος	98	172
γεννάω	97	173
ἄρτος	97	174
διδάσκω	97	175
ἕτερος	97	176
αἷμα	97	177
εἶπον	96	178
φοβέω	95	179
ἐκεῖ	95	180
περιπατέω	95	181
τόπος	95	182
οἰκία	94	183
ἐνώπιον	94	184
πούς	93	185
ἔτι	93	186
εἰρήνη	92	187
δικαιοσύνη	91	188
θάλασσα	91	189
κάθημαι	91	190
οὔτε	91	191
πίπτω	90	192
ἀπόλλυμι	90	193
