lex	strong
Αἰγύπτιος	G0124
Αἰθίοψ	G0128
Αἰνέας	G0132
Αἰνών	G0137
Αἴγυπτος	G0125
Αὐγοῦστος	G0828
Βάαλ	G0896
Βέροια	G0960
Βαβυλών	G0897
Βαλάκ	G0904
Βαλαάμ	G0903
Βαράκ	G0913
Βαραββᾶς	G0912
Βαραχίας	G0914
Βαρθολομαῖος	G0918
Βαριησοῦς	G0919
Βαριωνᾶ	G0920
Βαρναβᾶς	G0921
Βαρσαββᾶς	G0923
Βαρτιμαῖος	G0924
Βεελζεβούλ	G0954
Βελιάρ	G0955
Βενιαμίν	G0958
Βερνίκη	G0959
Βεροιαῖος	G0961
Βηθανία	G0963
Βηθζαθά	G0964
Βηθλέεμ	G0965
Βηθσαϊδά	G0966
Βηθφαγή	G0967
Βιθυνία	G0978
Βλάστος	G0986
Βοανηργές	G0993
Βοσόρ	G1007
Βόες	G1003
Γάδ	G1045
Γάζα	G1048
Γάϊος	G1050
Γαββαθά	G1042
Γαβριήλ	G1043
Γαδαρηνός	G1046
Γαλάτης	G1052
Γαλατία	G1053
Γαλατικός	G1054
Γαλιλαία	G1056
Γαλιλαῖος	G1057
Γαλλίων	G1058
Γαμαλιήλ	G1059
Γεδεών	G1066
Γεθσημανί	G1068
Γεννησαρέτ	G1082
Γερασηνός	G1086
Γολγοθᾶ	G1115
Γόμορρα	G1116
Γώγ	G1136
Δάμαρις	G1152
Δέρβη	G1191
Δίδυμος	G1324
Δαλμανουθά	G1148
Δαλματία	G1149
Δαμασκηνός	G1153
Δαμασκός	G1154
Δανιήλ	G1158
Δαυίδ	G1138
Δεκάπολις	G1179
Δερβαῖος	G1190
Δημήτριος	G1216
Δημᾶς	G1214
Διονύσιος	G1354
Διοτρέφης	G1361
Διόσκουροι	G1359
Δορκάς	G1393
Δρούσιλλα	G1409
Εὐνίκη	G2131
Εὐοδία	G2136
Εὐφράτης	G2166
Εὔβουλος	G2103
Εὔτυχος	G2161
Εὕα	G2096
Ζάρα	G2196
Ζαβουλών	G2194
Ζακχαῖος	G2195
Ζαχαρίας	G2197
Ζεβεδαῖος	G2199
Ζεύς	G2203
Ζηνᾶς	G2211
Ζοροβαβέλ	G2216
Θάρα	G2291
Θαδδαῖος	G2280
Θαμάρ	G2283
Θεσσαλονίκη	G2332
Θεσσαλονικεύς	G2331
Θευδᾶς	G2333
Θεόφιλος	G2321
Θυάτειρα	G2363
Θωμᾶς	G2381
Κάρπος	G2591
Κάϊν	G2535
Κίς	G2797
Καισάρεια	G2542
Κανά	G2580
Καναναῖος	G2581
Κανδάκη	G2582
Καππαδοκία	G2587
Καφαρναούμ	G2584
Καϊάφας	G2533
Καϊνάμ	G2536
Καῖσαρ	G2541
Καῦδα	G2802
Κεγχρεαί	G2747
Κεδρών	G2748
Κηφᾶς	G2786
Κιλικία	G2791
Κλήμης	G2815
Κλαυδία	G2803
Κλαύδιος	G2804
Κλεοπᾶς	G2810
Κλωπᾶς	G2832
Κνίδος	G2834
Κολοσσαί	G2857
Κορίνθιος	G2881
Κορνήλιος	G2883
Κούαρτος	G2890
Κρής	G2912
Κρήσκης	G2913
Κρήτη	G2914
Κρίσπος	G2921
Κυρήνη	G2957
Κυρήνιος	G2958
Κυρηναῖος	G2956
Κωσάμ	G2973
Κόρε	G2879
Κόρινθος	G2882
Κύπριος	G2953
Κύπρος	G2954
Κώς	G2972
Λάζαρος	G2976
Λάμεχ	G2984
Λίνος	G3044
Λαοδίκεια	G2993
Λαοδικεύς	G2994
Λασαία	G2996
Λευί	G3017
Λευίτης	G3019
Λευιτικός	G3020
Λιβερτῖνος	G3032
Λιβύη	G3033
Λουκᾶς	G3065
Λούκιος	G3066
Λυδία	G3070
Λυκία	G3073
Λυκαονία	G3071
Λυκαονιστί	G3072
Λυσίας	G3079
Λυσανίας	G3078
Λωΐς	G3090
Λύδδα	G3069
Λύστρα	G3082
Λώτ	G3091
Μάαθ	G3092
Μάλχος	G3124
Μάρθα	G3136
Μίλητος	G3399
Μαγαδάν	G3093
Μαγδαληνή	G3094
Μαγώγ	G3098
Μαδιάμ	G3099
Μαθθάτ	G3158
Μαθθίας	G3159
Μαθθαῖος	G3156
Μαθουσαλά	G3103
Μακεδονία	G3109
Μακεδών	G3110
Μαλελεήλ	G3121
Μαναήν	G3127
Μανασσῆ	G3128
Μαρία	G3137
Ματθάν	G3157
Ματταθά	G3160
Ματταθίας	G3161
Μελίτη	G3194
Μελεά	G3190
Μελχί	G3197
Μελχισέδεκ	G3198
Μεννά	G3104
Μεσοποταμία	G3318
Μεσσίας	G3323
Μιτυλήνη	G3412
Μιχαήλ	G3413
Μνάσων	G3416
Μυσία	G3465
Μωϋσῆς	G3475
Μόλοχ	G3434
Μύρα	G3460
Μᾶρκος	G3138
Μῆδος	G3370
Νάρκισσος	G3488
Νίγερ	G3526
Ναΐν	G3484
Ναασσών	G3476
Ναγγαί	G3477
Ναζαρά	G3478
Ναζαρηνός	G3479
Ναζωραῖος	G3480
Ναθάμ	G3481
Ναθαναήλ	G3482
Ναιμάν	G3497
