lex	count	rank
W	50272	0
H	30386	1
L	20069	2
B	15542	3
>T	10987	4
MN	7562	5
JHWH/	6828	6
<L	5766	7
>L	5517	8
>CR	5500	9
KL/	5412	10
>MR[	5307	11
L>	5167	12
BN/	4937	13
KJ	4483	14
HJH[	3561	15
K	2902	16
<FH[	2629	17
>LHJM/	2601	18
BW>[	2570	19
MLK/	2523	20
JFR>L/	2506	21
>RY/	2504	22
JWM/	2304	23
>JC/	2186	24
PNH/	2127	25
BJT/	2063	26
NTN[	2010	27
<M/	1866	28
JD/	1618	29
HLK[	1547	30
DBR/	1441	31
HW>	1394	32
R>H[	1298	33
<D	1263	34
>B/	1217	35
ZH	1177	36
CM<[	1159	37
DBR[	1138	38
<JR/	1090	39
JCB[	1082	40
DWD==/	1075	41
JY>[	1068	42
>M	1068	43
HNH	1060	44
<M	1049	45
CWB[	1038	46
>XD/	970	47
LQX[	965	48
JD<[	944	49
<LH[	890	50
<JN/	887	51
>T==	878	52
CNH/	876	53
>NJ	874	54
CM/	864	55
CLX[	847	56
MWT[	835	57
CM	834	58
JHWDH/	819	59
>KL[	810	60
<BD/	800	61
>JN/	788	62
>CH/	781	63
GM	769	64
CNJM/	768	65
MCH=/	766	66
NPC/	754	67
KHN/	750	68
>TH	747	69
>LH	746	70
H=	743	71
QR>[	732	72
>L=	726	73
>XR/	715	74
DRK/	706	75
MYRJM/	681	76
NF>[	653	77
JRWCLM/	643	78
>X/	629	79
QWM[	629	80
Z>T	604	81
CLC/	602	82
LB/	601	83
R>C/	599	84
BT/	588	85
FJM[	583	86
MJM/	582	87
M>H/	579	88
KH	577	89
MH	573	90
HR/	558	91
GWJ/	555	92
>DM/	553	93
<BR[	548	94
KN	546	95
GDWL/	526	96
<MD[	521	97
XMC/	506	98
TXT/	505	99
QWL/	505	100
NKH[	500	101
PH/	498	102
YWH[	494	103
JLD[	492	104
>LP=/	492	105
CB</	490	106
<WD/	490	107
YB>/	486	108
HJ>	485	109
VWB/	469	110
QDC/	469	111
CMR[	468	112
>RB</	454	113
MY>[	453	114
<WLM/	438	115
>DNJ/	438	116
NPL[	434	117
<TH	433	118
RB/	424	119
MJ	423	120
MCPV/	422	121
CMJM/	421	122
FR/	421	123
TWK/	418	124
XRB/	412	125
BJN/	407	126
C>WL=/	406	127
N>	404	128
KSP/	403	129
MQWM/	401	130
MZBX/	401	131
JM/	396	132
ZHB/	389	133
RWX/	378	134
>C/	378	135
JRD[	377	136
BNH[	376	137
N>M/	376	138
C<R/	374	139
NGD[	370	140
DM/	360	141
>NKJ	359	142
J<QB/	349	143
R</	347	144
MLK[	347	145
>HRN/	347	146
>HL/	345	147
DJ	345	148
SBJB/	336	149
>DWN/	335	150
JR>[	332	151
<Y/	330	152
BRK[	327	153
KLJ/	325	154
FDH/	320	155
>W	320	156
<NH[	316	157
<FRJM/	315	158
NBJ>/	315	159
R<H/	313	160
MLXMH/	308	161
PQD[	303	162
M>D/	300	163
LXM/	298	164
<T/	297	165
SWR[	297	166
XV>T/	293	167
CLMH=/	293	168
ML>[	292	169
LWJ/	292	170
HMH	291	171
XZQ[	290	172
<BD[	288	173
KRT[	288	174
PLCTJ/	288	175
<LH/	286	176
BRJT/	284	177
XDC=/	284	178
XJH[	283	179
>TM	283	180
>JB[	283	181
QRB[	281	182
>P/	277	183
Y>N/	274	184
CC/	274	185
PR<H/	274	186
>BN/	273	187
LM<N	272	188
BFR/	270	189
MDBR/	270	190
HM	269	191
BBL/	262	192
RC</	262	193
LBB/	252	194
MVH/	252	195
>MH=/	247	196
RGL/	247	197
XSD/	245	198
XJL/	244	199
GBWL/	240	200
N<R/	240	201
XJ/	239	202
CLWM/	237	203
XV>[	237	204
M<FH/	235	205
>L/	235	206
<WN/	231	207
ZKR[	231	208
JRC[	231	209
ZR</	229	210
LJLH/	227	211
QRB/	227	212
BD/	225	213
BQC[	225	214
RBH[	224	215
NXLH/	224	216
MW<D/	223	217
>DMH/	223	218
KTB[	223	219
>M/	220	220
TWRH/	220	221
JHWC</	218	222
CTH[	217	223
KWN[	216	224
BGD/	215	225
BQR=/	214	226
<ZB[	214	227
NVH[	214	228
MXNH/	214	229
ML>K/	213	230
JWSP/	213	231
NYL[	213	232
JSP[	212	233
CKB[	212	234
MNXH/	211	235
>HB[	211	236
KLH[	206	237
YDJQ/	206	238
JC<[	205	239
>SP[	204	240
<FR/	203	241
CPV[	202	242
>RWN/	202	243
LKN	200	244
KBWD/	200	245
JKL[	193	246
KP/	192	247
XYR/	192	248
CMN/	191	249
BHMH/	190	250
CBV/	190	251
RWM[	188	252
MCPXH/	188	253
