lex	strong
<B/	H5645
<B=/	H5645
<B==/	H5645
<BC[	H5685
<BD/	H5650
<BD=/	H5652
<BD==/	H5650
<BD>/	H5653
<BD>L/	H5655
<BDH/	H5656
<BDH=/	H5657
<BDJ/	H5660
<BDJ>L/	H5661
<BDJH/	H5662
<BDJHW/	H5650
<BDWN/	H5658
<BDWN=/	H5658
<BD[	H5647
<BD_>DWM/	H5654
<BD_MLK/	H5663
<BD_NGW/	H5664
<BH[	H5666
<BJ/	H5672
<BJDH/	H5673
<BR/	H5676
<BR=/	H5676
<BR=[	H5674
<BRH/	H5679
<BRH=/	H5678
<BRJ/	H5680
<BRJ=/	H5680
<BRJM/	H5682
<BRN/	H5683
<BRNH/	H5684
<BR[	H5674
<BT/	H5688
<BV=[	H5670
<BVJV/	H5671
<BV[	H5670
<BWR/	H5668
<BWR=/	H5669
<BWT/	H5687
<BWV/	H5667
<C/	H6211
<C=/	H6211
<C==/	H6211
<CC[	H6244
<CJR/	H6223
<CN/	H6227
<CN=/	H6226
<CN==/	H6227
<CQ/	H6233
<CQ=/	H6232
<CQH/	H6234
<CQ[	H6231
<CR/	H6239
<CR[	H6238
<CT/	H6247
<CTJ/	H6249
<CTRT/	H6253
<CTRT=/	H6251
<CTRT==/	H6253
<CTRTJ/	H6254
<CTRT_QRNJM/	H6255
<CTRWT/	H6252
<CTWT/	H6248
<CWT=/	H6220
<D	H5704
<D/	H5704
<D<DH/	H5735
<D=/	H5707
<D==/	H5704
<DCH/	H5742
<DH/	H5713
<DH=/	H5713
<DH===/	H5711
<DJ/	H5716
<DJ>L/	H5717
<DJH/	H5718
<DJN/	H5720
<DJN=/	H5720
<DJN>/	H5721
<DJTJM/	H5723
<DLJ/	H5724
<DLM/	H5725
<DLMJ/	H5726
<DN	H5728
<DN/	H5731
<DN=/	H5731
<DN==/	H5731
<DN===/	H5729
<DN>/	H5733
<DNH	H5704
<DNH/	H5730
<DNH=/	H5734
<DP[	H5736
<DR/	H5739
<DR=/	H5739
<DR==/	H5739
<DR===/	H5738
<DRJ>L/	H5741
<DW/	H5714
<DWT/	H5715
<FB/	H6212
<FH>L/	H6214
<FH[	H6213
<FJ>L/	H6221
<FJH/	H6222
<FJRJ/	H6224
<FQ/	H6230
<FR/	H6240
<FR=/	H6235
<FRH/	H6240
<FRH=/	H6235
<FRJM/	H6242
<FRJN/	H6243
<FRWN/	H6241
<FR[	H6237
<FW/	H6215
<FWR/	H6218
<GBH/	H5691
<GH/	H5692
<GJL/	H5694
<GL/	H5695
<GL=/	H5696
<GLH/	H5697
<GLH=/	H5699
<GLH==/	H5697
<GLWN/	H5700
<GLWN=/	H5700
<GM[	H5701
<GN[	H5702
<GWR/	H5693
<J/	H5856
<J=/	H5857
<JBL/	H5858
<JBL=/	H5858
<JC/	H5906
<JJM/	H5864
<JJ_H<BRJM/	H5863
<JLJ/	H5866
<JLM/	H5867
