lex,default
Αἰγύπτιος,埃及人的;埃及的
Αἰθίοψ,《和2010》埃塞俄比亞人;《現》衣索匹亞人;《和》埃提阿伯人;《思》厄提約丕雅人
Αἰνέας,以尼雅;《思》艾乃阿
Αἰνών,哀嫩;《思》艾農
Αἴγυπτος,埃及
Αὐγοῦστος,奥古斯都;《和》亞古士督
Βάαλ,巴力;《思》巴耳
Βέροια,庇哩亞;《思》貝洛雅
Βαβυλών,巴比倫
Βαλάκ,巴勒;《思》巴拉克
Βαλαάμ,巴蘭;《思》巴郎
Βαράκ,巴拉;《思》巴辣克
Βαραββᾶς,巴拉巴;《思》巴辣巴
Βαραχίας,《和2010》《和》巴拉加;《現》比利加;《思》貝勒基雅
Βαρθολομαῖος,巴多羅買;《思》巴爾多祿茂
Βαριησοῦς,巴耶穌;《思》巴爾耶稣
Βαριωνᾶ,約翰的兒子;《和》巴約拿;《思》約納的兒子
Βαρναβᾶς,巴拿巴;《思》巴爾納伯
Βαρσαββᾶς,巴撒巴;《思》巴爾撒巴
Βαρτιμαῖος,巴底買;《思》巴爾提買
Βεελζεβούλ,别西卜;《思》貝耳則步
Βελιάρ,《和》彼列;《現》魔鬼;《思》貝里雅耳
Βενιαμίν,便雅憫;《思》本雅明
Βερνίκη,《和2010》百妮基;《和》百尼基;《現》貝妮絲;《思》貝勒尼切
Βεροιαῖος,"庇哩亞人,《思》貝洛雅人"
Βηθανία,伯大尼;《思》伯達尼
Βηθζαθά,畢士大;《思》貝特匝達
Βηθλέεμ,伯利恆;《思》白冷
Βηθσαϊδά,伯賽大;《思》貝特賽達
Βηθφαγή,伯法其;《思》貝特法革
Βιθυνία,庇推尼;《思》彼提尼雅
Βλάστος,伯拉斯都;《思》布拉斯托
Βοανηργές,半尼其;《思》波納爾革
Βοσόρ,(音譯)伯索耳
Γάδ,迦得;《思》加得
Γάζα,迦薩;《思》迦薩
Γάϊος,該猶;《思》加約
Γαββαθά,《和2010》《和》厄巴大;《現》加巴大;《思》加巴達
Γαβριήλ,加百列;《思》加俾額爾
Γαδαρηνός,加大拉人;《思》加達辣人
Γαλάτης,加拉太人;《思》迦拉達人
Γαλατία,加拉太;《思》迦拉達
Γαλατικός,加拉太;《思》迦拉達
Γαλιλαία,加利利;《思》加里肋亞
Γαλιλαῖος,加利利人;《思》加里肋亞人
Γαλλίων,迦流;《思》加里雍
Γαμαλιήλ,迦瑪列;《思》加瑪里耳
Γεδεών,基甸;《思》基德紅
Γεθσημανί,客西馬尼;《思》革責瑪尼
Γεννησαρέτ,革尼撒勒;《思》革乃撒勒
Γερασηνός,格拉森人;《思》革辣撒人
Γολγοθᾶ,各各他;《思》哥耳哥達
Γόμορρα,蛾摩拉;《思》哈摩辣
Γώγ,歌革;《思》哥格
Δάμαρις,大馬哩;《思》達瑪黎
Δέρβη,特庇;《思》德爾貝
Δίδυμος,《和》低土馬;《現》雙胞胎;《思》狄狄摩
Δαλμανουθά,大瑪努他;《思》達瑪奴達
Δαλματία,撻馬太;《思》達耳瑪提雅
Δαμασκηνός,大馬士革的;《和》大馬色的
Δαμασκός,大馬士革;《和》大馬色
Δανιήλ,但以理;《思》達尼爾
Δαυίδ,大衛;《思》達味
Δεκάπολις,《和2010》低加坡里;《和》低加波利;《現》十邑;《思》十城區
Δερβαῖος,特庇人;《思》德爾貝人
Δημήτριος,《和2010》《和》底米丢;《現》底米特;《思》德默特琉
Δημᾶς,底馬;《思》德瑪斯
Διονύσιος,《和2010》《和》丢尼修;《現》杜尼修;《思》狄約尼削
Διοτρέφης,《和2010》《和》丢特腓;《現》狄特腓;《思》狄約勒斐
Διόσκουροι,《和2010》宙斯雙子;《和》丟斯雙子;《現》雙神;《思》彫斯雇黎
Δορκάς,多加;《思》多爾卡
Δρούσιλλα,土西拉;《思》得鲁息拉
Εὐνίκη,友妮基;《和》友尼基;《思》歐尼刻
Εὐοδία,友阿蝶;《和》友阿爹;《思》厄敖狄雅
Εὐφράτης,幼發拉底;《和》伯拉;《思》幼發拉的
Εὔβουλος,友布羅;《思》歐步羅
