lex,default
Αἰγύπτιος,egyptisk
Αἰθίοψ,ethiopier
Αἰνέας,Æneas
Αἰνών,Ænon
Αἴγυπτος,Egypten
Αὐγοῦστος,Augustus
Βάαλ,Ba'al
Βέροια,Berøa
Βαβυλών,Babylon
Βαλάκ,Balak
Βαλαάμ,Bileam
Βαράκ,Barak
Βαραββᾶς,Barabbas
Βαραχίας,Barakias
Βαρθολομαῖος,Bartholomæus
Βαριησοῦς,Barjesus
Βαριωνᾶ,Jonas' søn
Βαρναβᾶς,Barnabas
Βαρσαββᾶς,Barsabbas
Βαρτιμαῖος,Bartimæus
Βεελζεβούλ,Beelzebul
Βελιάρ,Beliar
Βενιαμίν,Benjamin
Βερνίκη,Berenike
Βεροιαῖος,fra Berøa
Βηθανία,Betania
Βηθλέεμ,Bethlehem
Βηθσαϊδά,Betsajda
Βηθφαγή,Betfage
Βιθυνία,Bitynien
Βλάστος,Blastus
Βοανηργές,Boanerges
Βόες,Boaz
Γάδ,Gad
Γάζα,Gaza
Γάϊος,Gajus
Γαββαθά,Gabbata
Γαβριήλ,Gabriel
Γαδαρηνός,gadarener
Γαλάτης,galater
Γαλατία,Galatien
Γαλατικός,galatisk
Γαλιλαία,Galilæa
Γαλιλαῖος,galilæer
Γαλλίων,Gallio
Γαμαλιήλ,Gamaliel
Γεδεών,Gideon
Γεθσημανί,Getsemane
Γεννησαρέτ,Genesaret
Γολγοθᾶ,Golgata
Γόμορρα,Gomorra
Γώγ,Gog
Δάμαρις,Damaris
Δέρβη,Derbe
Δίδυμος,Didymos
Δαλμανουθά,Dalmanuta
Δαλματία,Dalmatien
Δαμασκηνός,damaskener
Δαμασκός,Damaskus
Δανιήλ,Daniel
Δαυίδ,David
Δεκάπολις,Dekapolis
Δερβαῖος,fra Derbe
Δημήτριος,Demetrios
Δημᾶς,Demas
Διονύσιος,Dionysios
Διοτρέφης,Diotrefes
Διόσκουροι,Tvillinger
Δορκάς,Hind; Dorcas
Δρούσιλλα,Drusilla
Εὐνίκη,Eunike
Εὐοδία,Euodia
Εὐφράτης,Eufrat
Εὔβουλος,Eubulos
Εὔτυχος,Eutykos
Εὕα,Eva
Ζάρα,Zera
Ζαβουλών,Zebulon
Ζακχαῖος,"Zakæus,"
Ζαχαρίας,Zakarias
Ζεβεδαῖος,Zebedæus
Ζεύς,Zeus
Ζηνᾶς,Zenas
Ζοροβαβέλ,Shealtiel
Θάρα,Tera
Θαδδαῖος,Thaddæus
Θαμάρ,Tamar
Θεσσαλονίκη,Thessalonika
Θεσσαλονικεύς,fra Thessalonika
Θευδᾶς,Theudas
Θεόφιλος,Theofilus
Θυάτειρα,Thyatira
Θωμᾶς,Thomas
Κάρπος,Karpos
Κάϊν,Kain
Κίς,Kish
Καισάρεια,Caesarea
Κανά,Kana
Καναναῖος,Kananæer
Κανδάκη,Kandake
Καππαδοκία,Kappadokien
Καφαρναούμ,Kapernaum
Καϊάφας,Kajfas
Καϊνάμ,Kenan
Καῖσαρ,kejser
Καῦδα,Kauda
Κεγχρεαί,Kenkreæ
Κεδρών,Kedronbækken
Κηφᾶς,Kefas
Κιλικία,Kilikien
Κλήμης,Clemens
Κλαυδία,Claudia
Κλαύδιος,Claudius
Κλεοπᾶς,Kleofas
Κλωπᾶς,Klopas
Κνίδος,Knidos
Κολοσσαί,Kolossæ
Κορίνθιος,korinther
Κορνήλιος,Cornelius
Κούαρτος,Kvartus
Κρής,kreter
Κρήσκης,Kreskens
Κρήτη,Kreta
Κρίσπος,Krispus
Κυρήνη,Kyrene
Κυρήνιος,Kvirinius
Κυρηναῖος,fra Kyrene
Κωσάμ,Kosam
Κόρε,Kain
Κόρινθος,Korinth
Κύπριος,cypriotisk; fra Cypern
Κύπρος,Cypern
Κώς,Kos
Λάζαρος,Lazarus
Λάμεχ,Lemek
Λίνος,Linus
Λαοδίκεια,Laodikea
Λαοδικεύς,Laodikea
Λασαία,Lasæa
Λευί,Levi
Λευίτης,levit
Λευιτικός,levitisk
Λιβερτῖνος,frigiven
Λιβύη,Libyen
Λουκᾶς,Lukas
Λούκιος,Lucius
Λυδία,Lydia
Λυκία,Lykien
Λυκαονία,Lykaonien
Λυκαονιστί,lykaonisk
Λυσίας,Lysias
Λυσανίας,Lysanias
Λωΐς,Lois
Λύδδα,Lydda
Λύστρα,Lystra
Λώτ,Lot
Μάαθ,Mahat
Μάλχος,Malkus
Μάρθα,Martha
Μίλητος,Milet
Μαγδαληνή,Magdalene
Μαγώγ,Magog
Μαδιάμ,Midjan
Μαθθάτ,Mattat
Μαθθίας,Matthias
Μαθθαῖος,Matthæus
Μαθουσαλά,Metusalem
Μακεδονία,Makedonien
Μακεδών,makedonsk
Μαλελεήλ,Mahalal'el
Μαναήν,Manaen
Μανασσῆ,Manasse
Μαρία,Maria
Ματθάν,Mattan
Ματταθά,Mattata
Ματταθίας,Mattathias
Μελίτη,Malta
Μελεά,Melea
Μελχί,Mattat
Μελχισέδεκ,Melkisedek
Μεσοποταμία,Mesopotamien
Μεσσίας,Messias
Μιτυλήνη,Mitylene
Μιχαήλ,Mikael
Μνάσων,Mnason
Μυσία,Mysien
Μωϋσῆς,Moses
Μόλοχ,Molok
Μύρα,Myra
Μᾶρκος,Markus
Μῆδος,meder
Νάρκισσος,Narkissos
Νίγερ,Niger
Ναΐν,Nain
Ναασσών,Nakshon
Ναγγαί,Naggaj
Ναζαρά,Nazaret
Ναζαρηνός,nazareisk; fra Nazaret
Ναζωραῖος,Nazaret
Ναθάμ,Natan
Ναθαναήλ,fra Nazaret
Ναιμάν,Na'aman
Ναούμ,Nahum
Ναχώρ,Nakor
Νεφθαλίμ,Naftali
Νηρί,Neri
Νηρεύς,Nereus
Νικάνωρ,Nikanor
Νικολαΐτης,nikolaitter
Νικόδημος,Nikodemus
Νικόλαος,Nikolaos
Νικόπολις,Nikopolis
Νινευίτης,Nineve
Νύμφα,Nymfa
Νῶε,Noah
Οὐρίας,Urias
Οὐρβανός,Urbanus
Πάρθος,parther
Πάταρα,Patara
Πάτμος,Patmos
Πάφος,Pafos
Πέργαμος,Pergamon
Πέργη,Perge
Πέτρος,Peter
Παμφυλία,Pamfylien
Παρμενᾶς,Parmenas
Πατροβᾶς,Patrobas
Παῦλος,Paulus
Περσίς,Persis
Πιλᾶτος,Pilatus
Πισίδιος,Pisidien
Πισιδία,Pisidien
Ποντικός,fra Pontus
Ποτίολοι,Puteoli
Πούδης,Pudens
Πρίσκα,Priskilla
Πρόχορος,Prokoros
Πτολεμαΐς,Ptolemais
Πόντιος,Pontius
Πόντος,Pontus
Πόπλιος,Publius
Πόρκιος,Porkius
Πύρρος,ildfarvet
Σάμος,Samos
Σάπφιρα,Safira
Σάρδεις,Sardes
Σάρεπτα,Sarepta
Σάρρα,Sara
Σέργιος,Sergius
Σήθ,Set
Σήμ,Sem
Σίμων,Simon
Σαβαώθ,Hærskare
Σαδδουκαῖος,saddukæer
Σαδώκ,Sadok
Σαλά,Sala
Σαλήμ,Salem
Σαλαθιήλ,Shealtiel
Σαλαμίς,Salamis
Σαλείμ,Salem
Σαλμών,Salmon
Σαλμώνη,Salmone
Σαλώμη,Salome
Σαμάρεια,Samaria
Σαμαρίτης,samaritaner
Σαμαρῖτις,samaritansk
Σαμοθρᾴκη,Samothrake
Σαμουήλ,Samuel
Σαμψών,Samson
Σαούλ,Saul
Σαρών,Saron
Σατανᾶς,Satan
Σαῦλος,Saul
