lex,default
Αἰγύπτιος,Egyptenaar
Αἰθίοψ,Ethiopiër
Αἰνέας,Eneas
Αἰνών,Enon
Αἴγυπτος,Egypte
Αὐγοῦστος,Augustus
Βάαλ,Baäl
Βέροια,Berea
Βαβυλών,Babylon
Βαλάκ,Balak
Βαλαάμ,Bileam
Βαράκ,Barak
Βαραββᾶς,Barabbas
Βαραχίας,Berechja
Βαρθολομαῖος,Bartolomeüs
Βαριησοῦς,Barjesus
Βαριωνᾶ,Barjona
Βαρναβᾶς,Barnabas
Βαρσαββᾶς,Barsabbas
Βαρτιμαῖος,Bartimeüs
Βεελζεβούλ,Beëlzebul
Βελιάρ,Beliar
Βενιαμίν,Benjamin
Βερνίκη,Bernice
Βεροιαῖος,uit Berea
Βηθανία,Betanië
Βηθλέεμ,Betlehem
Βηθσαϊδά,Betsaïda
Βηθφαγή,Betfage
Βιθυνία,Bitynië
Βλάστος,Blastus
Βοανηργές,Boanerges
Βόες,Boaz
Γάδ,Gad
Γάζα,Gaza
Γάϊος,Gajus
Γαββαθά,Gabata
Γαβριήλ,Gabriël
Γαδαρηνός,uit Gadara; (subst.) Gadareen
Γαλάτης,uit Galatië; (subst.) Galaat
Γαλατία,Galatië
Γαλατικός,van Galatië
Γαλιλαία,Galilea
Γαλιλαῖος,uit Galilea; (subst.) Galileeër
Γαλλίων,Gallio
Γαμαλιήλ,Gamaliël
Γεδεών,Gideon
Γεθσημανί,Getsemane
Γεννησαρέτ,Gennesaret
Γολγοθᾶ,Golgota
Γόμορρα,Gomorra
Γώγ,Gog
Δάμαρις,Damaris
Δέρβη,Derbe
Δίδυμος,"Didymus, Tweeling"
Δαλμανουθά,Dalmanuta
Δαλματία,Dalmatië
Δαμασκηνός,uit Damascus
Δαμασκός,Damascus
Δανιήλ,Daniël
Δαυίδ,David
Δεκάπολις,Dekapolis
Δερβαῖος,uit Derbe
Δημήτριος,Demetrius
Δημᾶς,Demas
Διονύσιος,Dionysius
Διοτρέφης,Diotrefes
Διόσκουροι,Dioscuren
Δορκάς,Dorkas
Δρούσιλλα,Drusilla
Εὐνίκη,Eunike
Εὐοδία,Euodia
Εὐφράτης,Eufraat
Εὔβουλος,Eubulus
Εὔτυχος,Eutychus
Εὕα,Eva
Ζάρα,Zerach
Ζαβουλών,Zebulon
Ζακχαῖος,Zacheüs
Ζαχαρίας,Zecharja
Ζεβεδαῖος,Zebedeüs
Ζεύς,Zeus
Ζηνᾶς,Zenas
Ζοροβαβέλ,Zerubbabel
Θάρα,Terach
Θαδδαῖος,Taddeüs
Θαμάρ,Tamar
Θεσσαλονίκη,Tessalonica
Θεσσαλονικεύς,(iemand) uit Tessalonica
Θευδᾶς,Teudas
Θεόφιλος,Theofilus
Θυάτειρα,Tyatira
Θωμᾶς,Tomas
Κάρπος,Karpus
Κάϊν,Kaïn
Κίς,Kis
Καισάρεια,Caesarea
Κανά,Kana
Καναναῖος,"(adj.) Kananeüs, uit Kanaän; (subst.) Kanaäniet"
Κανδάκη,kandake
Καππαδοκία,Kappadocië
Καφαρναούμ,Kafarnaüm
Καϊάφας,Kajafas
Καϊνάμ,Kenan
Καῖσαρ,"keizer, Caesar"
Καῦδα,Kauda
Κεγχρεαί,Kenchreeën
Κεδρών,Kedron
Κηφᾶς,Kefas
Κιλικία,Cilicië
Κλήμης,Clemens
Κλαυδία,Claudia
Κλαύδιος,Claudius
Κλεοπᾶς,Kleopas
Κλωπᾶς,Klopas
Κνίδος,Knidus
Κολοσσαί,Kolosse
Κορίνθιος,Korintiër
Κορνήλιος,Cornelius
Κούαρτος,Quartus
Κρής,Kretenzer
Κρήσκης,Crescens
