lex,default
Αἰγύπτιος,égyptien
Αἰθίοψ,un Éthiopien
Αἰνέας,Énée
Αἰνών,Énon
Αἴγυπτος,Égypte
Αὐγοῦστος,Auguste
Βάαλ,Baal
Βέροια,Bérée
Βαβυλών,Babylone
Βαλάκ,Balaq
Βαλαάμ,Balaam
Βαράκ,Barak
Βαραββᾶς,Barabbas
Βαραχίας,Barachie
Βαρθολομαῖος,Barthélemy
Βαριησοῦς,Bar-Jésus
Βαριωνᾶ,Bar Jona ou Bar Jonas
Βαρναβᾶς,Barnabas
Βαρσαββᾶς,Barsabbas
Βαρτιμαῖος,Bartimée
Βεελζεβούλ,Béelzéboul
Βελιάρ,Bélial
Βενιαμίν,Benjamin
Βερνίκη,Bérénice
Βεροιαῖος,de Bérée
Βηθανία,Béthanie
Βηθζαθά,Bethzatha
Βηθλέεμ,Bethléem
Βηθσαϊδά,Bethsaïda
Βηθφαγή,Bethphagé
Βιθυνία,Bithynie
Βλάστος,Blastus
Βοανηργές,Boanergès signifie Fils du tonnerre
Βοσόρ,Bosor
Γάδ,Gad
Γάζα,Gaza
Γάϊος,Gaïus
Γαββαθά,Gabbatha
Γαβριήλ,Gabriel
Γαδαρηνός,Gadarénien
Γαλάτης,Galate
Γαλατία,Galatie
Γαλατικός,galate
Γαλιλαία,Galilée
Γαλιλαῖος,Galiléen
Γαλλίων,Gallion
Γαμαλιήλ,Gamaliel
Γεδεών,Gédéon
Γεθσημανί,Gethsémani
Γεννησαρέτ,Gennésareth
Γερασηνός,Gérasénien
Γολγοθᾶ,Golgotha
Γόμορρα,Gomorrhe
Γώγ,Gog
Δάμαρις,Damaris
Δέρβη,Derbé
Δίδυμος,"Didyme, signifiant Jumeau"
Δαλμανουθά,Dalmanoutha
Δαλματία,Dalmatie
Δαμασκηνός,Damascénien
Δαμασκός,Damas
Δανιήλ,Daniel
Δαυίδ,David
Δεκάπολις,Décapole
Δερβαῖος,de Derbé
Δημήτριος,Démétrius
Δημᾶς,Démas
Διονύσιος,Denys
Διοτρέφης,Diotrèphe
Διόσκουροι,Dioscures signifiant les jumeaux divins
Δορκάς,Dorcas signifiant gazelle
Δρούσιλλα,Drusille
Εὐνίκη,Eunice
Εὐοδία,Évodie
Εὐφράτης,Euphrate
Εὔβουλος,Euboulos
Εὔτυχος,Eutyque
Εὕα,Ève
Ζάρα,Zèrah
Ζαβουλών,Zabulon
Ζακχαῖος,Zachée
Ζαχαρίας,Zacharie
Ζεβεδαῖος,Zébédée
Ζεύς,Zeus
Ζηνᾶς,Zênas
Ζοροβαβέλ,Zorobabel
Θάρα,Téra
Θαδδαῖος,Thaddée
Θαμάρ,Tamar
Θεσσαλονίκη,Thessalonique
Θεσσαλονικεύς,une Thessalonicien
Θευδᾶς,Theudas
Θεόφιλος,Théophile
Θυάτειρα,Thyatire
Θωμᾶς,Thomas
Κάρπος,Carpos
Κάϊν,Caïn
Κίς,"Kis, Cis, Kish"
Καισάρεια,Césarée
Κανά,Cana
Κανδάκη,la Candace
Καππαδοκία,Cappadoce
Καϊάφας,Caïphe
Καϊνάμ,Kaïnam
Καῖσαρ,César
Κεγχρεαί,Cencrées
Κεδρών,Cédron
Κηφᾶς,Cephas signifie roc
Κιλικία,Cilicie
Κλήμης,Clément
Κλαυδία,Claudia
Κλαύδιος,Claude
Κλεοπᾶς,Cléopas
Κλωπᾶς,Clopas
Κνίδος,Cnide
Κολοσσαί,Colosses
Κορίνθιος,un corinthien
Κορνήλιος,Corneille
Κούαρτος,Quartus
Κρής,un crétois
Κρήσκης,Crescens
Κρήτη,Crète
Κρίσπος,"Crispus, Crispos"
Κυρήνη,Cyrène
Κυρήνιος,Quirinius
Κυρηναῖος,Cyrénéen
Κωσάμ,Kosam
Κόρε,Coré
Κόρινθος,Corinthe
Κύπριος,Chypriote
Κύπρος,Chypre
Κώς,Cos
Λάζαρος,Lazare
Λάμεχ,Lamek
Λίνος,"Linus, Lin"
Λαοδίκεια,Laodicée
Λαοδικεύς,un Laodicéen
Λασαία,Lasée
Λευί,Lévi
Λευίτης,lévite
Λευιτικός,lévitique
Λιβερτῖνος,homme libre
Λιβύη,Libye
Λουκᾶς,Luc
Λούκιος,Lucius
Λυδία,Lydie
Λυκία,Lycie
Λυκαονία,Lycaonie
Λυκαονιστί,en langue lycaonienne
Λυσίας,Claude Lysias
Λυσανίας,Lysanias
Λωΐς,Loïs
Λύδδα,Lydda
Λύστρα,Lystre
Λώτ,Loth
Μάαθ,Maath
Μάλχος,Malchos
Μάρθα,Marthe
Μίλητος,Milet
Μαγδαληνή,Magdaléenne
Μαγώγ,Magog
Μαδιάμ,Madiân
Μαθουσαλά,Mathusalem
Μακεδονία,Macédoine
Μακεδών,Macédonien
Μαλελεήλ,Maléléel
Μαναήν,Manaën
Μανασσῆ,Manassé
Μαρία,Marie
Ματθάν,Matthan
Ματταθά,Mattata
Ματταθίας,Mattathias
Μελίτη,Malte
Μελεά,Méléa
Μελχί,Melki
Μελχισέδεκ,Melkisédec
Μεσοποταμία,Mésopotamie
Μεσσίας,Christ
Μιτυλήνη,Mitylène
Μιχαήλ,Michel
Μνάσων,Mnason
Μυσία,Mysie
Μωϋσῆς,Moïse
Μόλοχ,Moloch
Μύρα,Myre
Μᾶρκος,Marc
Μῆδος,Mèdes
Νάρκισσος,Narcisse
Νίγερ,Niger
Ναΐν,Naïn
Ναασσών,Naassôn
Ναγγαί,Naggaï
Ναζαρηνός,Nazaréen
Ναζωραῖος,Nazôréen
Ναθάμ,Nathan
Ναθαναήλ,Nathanaël
Ναούμ,Nahoum
Ναχώρ,Nahor
Νεφθαλίμ,Nephtali
Νηρί,Néri
Νηρεύς,Nérée
Νικάνωρ,Nicanor
Νικολαΐτης,Nicolaïte
Νικόδημος,Nicodème
Νικόλαος,Nicolas
Νικόπολις,Nicopolis
Νινευίτης,Ninivite
Νύμφα,Nympha ou Nymphas
Νῶε,Noé
Οὐρίας,Urie
Οὐρβανός,Urbain
Πάρθος,Parthes
Πάταρα,Patara
Πάτμος,Patmos
Πάφος,Paphos
Πέργαμος,Pergame
Πέργη,Pergé
Πέτρος,Pierre
Παμφυλία,Pamphylie
Παρμενᾶς,Parménas
Πατροβᾶς,Patrobas
Παῦλος,Paul
Περσίς,"Persis, Perside"
Πιλᾶτος,Pilate
Πισίδιος,Pisidie
Πισιδία,Pisidie
Ποντικός,du Pont
Ποτίολοι,Pouzzoles
Πούδης,Pudens
Πρόχορος,Prochore
Πτολεμαΐς,Ptolémaïs
Πόντιος,Pontius
Πόντος,Pont
Πόπλιος,Publius
Πόρκιος,Porcius
Πύρρος,[Glosses - fr]
Σάμος,Samos
Σάπφιρα,Saphira
Σάρδεις,Sardes
Σάρεπτα,Sarepta
Σάρρα,Sara
Σέργιος,Sergius
Σήθ,Seth
Σήμ,Sem
Σίμων,Simon
Σαβαώθ,Tout-Puissant
Σαδδουκαῖος,Sadducéens
Σαδώκ,Sadok
Σαλήμ,Salem
Σαλαθιήλ,Salathiel
Σαλαμίς,Salamine
Σαλείμ,Salim
Σαλμών,Salmon
Σαλμώνη,Salmoné
Σαλώμη,Salomé
Σαμάρεια,Samarie
Σαμαρίτης,Samaritain
Σαμαρῖτις,femme samaritaine
Σαμοθρᾴκη,Samothrase
Σαμουήλ,Samuel
Σαμψών,Samson
Σαούλ,Saul
Σαρών,Saron
Σατανᾶς,diable
Σαῦλος,Saul
Σεκοῦνδος,Secundus
Σελεύκεια,Séleucie
Σεμεΐν,Semein
Σερούχ,Sérouch
Σιδών,Sidon
Σιδώνιος,de Sidon
Σιλουανός,Silvain
Σιλωάμ,Siloé
Σιλᾶς,Silas
Σινᾶ,(mont) Sinaï
Σιών,Sion
Σκευᾶς,Scéva
Σκύθης,Scythe
Σμύρνα,Smyrne
Σολομών,Salomon
Σουσάννα,Suzanne
Σπανία,Espagne
Στάχυς,Stachys
Στέφανος,Étienne
Στεφανᾶς,Stéphanas
Στοϊκός,"Stoïcien, celui qui adhère à la phylosophie stoïcienne"
Συμεών,Siméon
Συντύχη,Syntyque
Συράκουσαι,Syracuse
Συρία,Syrie
Συροφοινίκισσα,syro-phénicienne
Συχάρ,Sychar
Συχέμ,Sichem
Σωσίπατρος,Sosipater
Σωσθένης,Sosthène
Σόδομα,Sodome
Σύρος,un syrien
Σύρτις,la Syrte
Σώπατρος,Sopater
Τέρτιος,Tertius
Τέρτυλλος,Tertullus
Τίμων,Timon
Τίτιος,Tite
Τίτος,Tite
Ταβιθά,Tabitha
Ταρσεύς,de Tarse
Ταρσός,Tarse
Τιβέριος,Tibère
Τιβεριάς,Tibériade
Τιμαῖος,Timée
Τιμόθεος,Timothée
Τραχωνῖτις,Trachonite
Τρυφῶσα,Tryphose
Τρόφιμος,Trophime
Τρύφαινα,Tryphène
Τρῳάς,Troas
Τυχικός,Tychique
Τύραννος,Tyrannos
Τύριος,Tyrien
Τύρος,Tyr
Φάλεκ,Phalek
Φάρες,Pharès
Φίλητος,Philète
Φίλιπποι,Philippes
Φίλιππος,Philippe
Φανουήλ,Phanuel
Φαραώ,Pharaon
Φαρισαῖος,Pharisien
Φιλήμων,Philémon
Φιλαδέλφεια,Philadelphie
Φιλιππήσιος,un Philippien
Φιλόλογος,Philologue
Φλέγων,Phlégon
Φοίβη,Phœbé
Φοινίκη,Phénicie
Φορτουνᾶτος,Fortunatus
Φοῖνιξ,Phénix
Φρυγία,Phrygie
Φύγελος,Phygèle
Φῆλιξ,Félix
Φῆστος,Festus
Χίος,Chios
Χαλδαῖος,un chaldéen
Χανάαν,Canaan
Χαναναῖος,cananéen
Χαρράν,Harân
Χερούβ,créature ailée
Χλόη,Chloé
Χοραζίν,Chorazin
Χουζᾶς,"Chouza, Chuza"
Χριστιανός,chrétien
Χριστός,Christ
αἰγιαλός,plage
αἰδώς,modestie
αἰνέω,louer
αἰσθάνομαι,être capable de discerner
αἰσθητήριον,être capable de discerner
αἰσχροκερδής,honteusement avide
αἰσχροκερδῶς,honteusement avide
αἰσχρολογία,parole vulgaire
αἰσχρός,inconvenant
αἰσχρότης,agir de façon honteuse
αἰσχύνη,honte
αἰσχύνω,avoir honte
αἰτέω,demander
αἰτία,raison
αἰφνίδιος,soudainement
αἰχμάλωτος,captif
αἰχμαλωσία,captivité
αἰχμαλωτίζω,faire prisonnier
αἰχμαλωτεύω,faire prisonnier
αἰών,"âge, ère"
αἰώνιος,éternel
αἱματεκχυσία,faire saigner
αἱμορροέω,saigner
αἱρέω,choisir
αἱρετίζω,choisir
αἱρετικός,dissension
αἴγειος,de chèvre
αἴνεσις,louer
αἴνιγμα,ce qui est troublant
αἴρω,(trans)porter
αἴσθησις,être capable de discerner
αἴτημα,requête
αἵρεσις,parti religieux
αἶνος,louer
αἷμα,sang
αὐγάζω,rendre visible
αὐγή,aube
αὐθάδης,arrogant
αὐθαίρετος,bien disposé
αὐθεντέω,contrôler
αὐλέω,jouer de la flûte
αὐλή,cour
αὐλίζομαι,passer la nuit
αὐλητής,joueur de flûte
αὐλός,flûte
αὐξάνω,augmenter
αὐστηρός,exigeant
αὐτάρκεια,contentement
αὐτάρκης,content de ce qu'on a
αὐτοκατάκριτος,être condamné par ses actes
αὐτοῦ,ici
αὐτόματος,sans aucune cause
αὐτόπτης,témoin oculaire
αὐτός,même
αὐτόχειρ,la propre main
αὐχμηρός,obscur et misérable
αὔξησις,grandir
αὔριον,demain
βάθος,profondeur
βάλλω,jeter
βάπτισμα,baptiser
βάπτω,tremper
βάρβαρος,non-Grec
βάρος,charge
βάσανος,tourment
βάσις,pied
βάτος (I),buisson d'épines
βάτραχος,grenouille
βάϊον,branche de palmier
βέβαιος,certain
βέβηλος,profane
βέλος,flèche
βήρυλλος,béryl
βία,force
βίαιος,violent
βίβλος,rouleau
βίος,vivre
βίωσις,vivre
βαθμός,position
βαθύνω,rendre profond
βαθύς,profond
βαλλάντιον,bourse
βαπτίζω,laver
βαπτισμός,laver
βαπτιστής,baptiseur
βαρέω,être accablé
βαρέως,être lent à comprendre
βαρύς,lourd
βαρύτιμος,précieux
βασίλισσα,reine
βασανίζω,torturer
βασανισμός,tourment
βασανιστής,garde de prison
βασιλεία,gouverner
βασιλεύς,roi
βασιλεύω,gouverner
βασιλικός,royal
βασκαίνω,ensorceler
βαστάζω,porter
βατταλογέω,utiliser beaucoup de mots
βδέλυγμα,ce qui est détestable
βδελυκτός,détesté
βδελύσσομαι,exécrer
βεβαίωσις,confirmer
