lex,default
Αἰγύπτιος,"Mesir, orang Mesir, bangsa Mesir"
Αἰθίοψ,"Etiopia, orang Etiopia"
Αἰνέας,Aineas
Αἰνών,Ainon
Αἴγυπτος,"Mesir, orang Mesir, bangsa Mesir"
Αὐγοῦστος,Agustus
Βάαλ,Baal
Βέροια,Berea
Βαβυλών,"Babel, orang Babel"
Βαλάκ,Balak
Βαλαάμ,Bileam
Βαράκ,Barak
Βαραββᾶς,Barabas
Βαρθολομαῖος,Bartolomeus
Βαριησοῦς,Bar-Yesus
Βαριωνᾶ,"Petrus, Simon Petrus, Kefas"
Βαρναβᾶς,Barnabas
Βαρσαββᾶς,Barsabas
Βαρτιμαῖος,Bartimeus
Βεελζεβούλ,Beelzebul
Βελιάρ,Belial
Βενιαμίν,Benyamin
Βερνίκη,Bernika
Βεροιαῖος,Berea
Βηθανία,Betania
Βηθζαθά,Betesda
Βηθλέεμ,"Betlehem, Efrata"
Βηθσαϊδά,Betsaida
Βηθφαγή,Betfage
Βιθυνία,Bitinia
Βλάστος,Blastos
Βοανηργές,Boanerges
Βοσόρ,Beor
Βόες,Boas
Γάδ,Gad
Γάζα,Gaza
Γάϊος,Gayus
Γαββαθά,Gabbata
Γαβριήλ,Gabriel
Γαδαρηνός,Gadarena
Γαλάτης,"Galatia, Galatia"
Γαλατία,"Galatia, Galatia"
Γαλατικός,"Galatia, Galatia"
Γαλιλαία,"Galilea, Orang Galilea, orang-orang Galilea"
Γαλιλαῖος,"Galilea, Orang Galilea, orang-orang Galilea"
Γαλλίων,Galio
Γαμαλιήλ,Gamaliel
Γεδεών,Gideon
Γεθσημανί,Getsemani
Γεννησαρέτ,"Laut Galilea, Laut Kineret, Danau Genesaret, Laut Tiberias"
Γερασηνός,Gerasena
Γολγοθᾶ,Golgota
Γόμορρα,Gomora
Γώγ,Gog
Δάμαρις,Damaris
Δέρβη,Derbe
Δίδυμος,Tomas
Δαλμανουθά,Dalmanutka
Δαλματία,Dalmatia
Δαμασκηνός,Damaskena
Δαμασκός,"Damsyik, Damaskus"
Δανιήλ,Daniel
Δαυίδ,Daud
Δεκάπολις,Dekapoli
Δερβαῖος,Derbe
Δημήτριος,Demetrius
Δημᾶς,Demas
Διονύσιος,Dionisius
Διοτρέφης,Diotrefes
Διόσκουροι,Kastor dan Pollux
Δορκάς,Dorkas
Δρούσιλλα,Drusila
Εὐνίκη,Eunika
Εὐοδία,Euodia
Εὐφράτης,"Sungai Efrat, Sungai"
Εὔβουλος,Eubulus
Εὔτυχος,Eutikus
Εὕα,Hawa
Ζάρα,Zera
Ζαβουλών,Zebulon
Ζακχαῖος,Zakheus
Ζαχαρίας,Zakharia (PB)
Ζεβεδαῖος,Zebedeus
Ζεύς,Zeus
Ζηνᾶς,Zenas
Ζοροβαβέλ,Zerubabel
Θάρα,Terah
Θαδδαῖος,Taddeus
Θαμάρ,Tamar
