lex,default
Αἰγύπτιος,egípcio
Αἰθίοψ,etíope
Αἰνέας,Enéias
Αἰνών,Aenon
Αἴγυπτος,Egito
Αὐγοῦστος,Augustus
Βάαλ,Baal
Βέροια,Berea
Βαβυλών,Babilônia
Βαλάκ,Intenção
Βαλαάμ,Balaam
Βαράκ,Barak
Βαραββᾶς,Barrabás
Βαραχίας,Barachiah
Βαρθολομαῖος,Bartholomew
Βαριησοῦς,Bar-Jesus
Βαριωνᾶ,Bar-jonas
Βαρναβᾶς,Barnabé
Βαρσαββᾶς,Barsabbas
Βαρτιμαῖος,Bartimeu
Βεελζεβούλ,Belzebul
Βελιάρ,Beliar
Βενιαμίν,Benjamin
Βερνίκη,Bernice
Βεροιαῖος,"Pertencente a dela, o mesmo"
Βηθανία,Betânia
Βηθλέεμ,Bethlehem
Βηθσαϊδά,Betsaida
Βηθφαγή,Bethfage
Βιθυνία,Bithynia
Βλάστος,Blastus
Βοανηργές,Boanerges
Βόες,Boaz
Γάδ,Gad
Γάζα,Gaza
Γάϊος,Gaius
Γαββαθά,Gabbatha
Γαβριήλ,Gabriel
Γαδαρηνός,"Gadareno, pertencente a Gadara"
Γαλάτης,Gálatiano
Γαλατία,GALATIA
Γαλατικός,Pertencendo à província Galatia
Γαλιλαία,Galiléia
Γαλιλαῖος,Galileu
Γαλλίων,Galio
Γαμαλιήλ,Gamaliel
Γεδεών,Gideon
Γεθσημανί,GetSemane
Γεννησαρέτ,Gennesaret
Γολγοθᾶ,Gólgota
Γόμορρα,Gomorra
Γώγ,GOG
Δάμαρις,Damaris
Δέρβη,Derble
Δίδυμος,"Twin, Didymus, Thomas"
Δαλμανουθά,Dalmanutha
Δαλματία,Dalmácia
Δαμασκηνός,Um habitante de Damasco
Δαμασκός,Damasco
Δανιήλ,Daniel
Δαυίδ,Davi
Δεκάπολις,Decapolis
Δερβαῖος,pertencente a Derbe
Δημήτριος,Demetrius
Δημᾶς,O resto
Διονύσιος,Dionísio
Διοτρέφης,Diotrephes
Διόσκουροι,"Dioscuri, Castor e Pollux"
Δορκάς,Dorcas
Δρούσιλλα,Drusilla
Εὐνίκη,Eunice
Εὐοδία,Euodia
Εὐφράτης,Eufrates
Εὔβουλος,Ebulus
Εὔτυχος,Euticilo
Εὕα,véspera
Ζάρα,Zerá
Ζαβουλών,Zebulon
Ζακχαῖος,Zacchau
Ζαχαρίας,Zacarias
Ζεβεδαῖος,Zebedeu
Ζεύς,Zeus
Ζηνᾶς,Zenas
Ζοροβαβέλ,Zerubbabel
Θάρα,Terá
Θαδδαῖος,Thaddaeus
Θαμάρ,Tamar
Θεσσαλονίκη,Thessalonica
Θεσσαλονικεύς,Thessalonian
Θευδᾶς,Theuda
Θεόφιλος,Teophilus
Θυάτειρα,Thyatira
Θωμᾶς,Tomé
Κάρπος,Carpo
Κάϊν,Caim
Κίς,Kish
Καισάρεια,Cesareia
Κανά,Cana
Καναναῖος,Cananita
Κανδάκη,Candace
Καππαδοκία,Capadócia
Καφαρναούμ,Cafarnaum
Καϊάφας,Caifás
Καϊνάμ,Cainan
Καῖσαρ,César
Καῦδα,"Cauda, Clauda"
Κεγχρεαί,Cenchreae
Κεδρών,Briga
Κηφᾶς,Cefas
Κιλικία,Cilicia
Κλήμης,Clemente
Κλαυδία,Claudia
Κλαύδιος,Claudius
Κλεοπᾶς,Cleopas
Κλωπᾶς,Clopas
Κνίδος,Cnidus
Κολοσσαί,Colunae
Κορίνθιος,Coríntio
Κορνήλιος,Cornelius
Κούαρτος,Quartus
Κρής,Cretan
Κρήσκης,Crescens
Κρήτη,Creta
Κρίσπος,Crispus
Κυρήνη,Cyrene
Κυρήνιος,Quirinius
Κυρηναῖος,Pertencendo a cyrene e cyrenaean
Κωσάμ,Cosm
Κόρε,Korah
Κόρινθος,Corinto
Κύπριος,"Cipriote, pertencente a Chipre"
Κύπρος,Chipre
Κώς,Cos
Λάζαρος,Lázaro
Λάμεχ,Lamech
Λίνος,Linus
Λαοδίκεια,Laodicea
Λαοδικεύς,Laodiceu
Λασαία,Lasea
Λευί,Levi
Λευίτης,Levita
Λευιτικός,Levítico
Λιβερτῖνος,liberto
Λιβύη,"Líbia, África"
Λουκᾶς,"Lucas, Luke"
Λούκιος,Lucius
Λυδία,Lydia
Λυκία,Lycia
Λυκαονία,Lycaonia
Λυκαονιστί,Na linguagem lycaoniana
Λυσίας,Claudius Lysias
Λυσανίας,Lisanias
Λωΐς,Lois
Λύδδα,"Lydda, Diopolis, Lod"
Λύστρα,Listra
Λώτ,Muito
Μάαθ,Maath
Μάλχος,Malchus
Μάρθα,Marta
Μίλητος,Miletus
Μαγδαληνή,Madalena
Μαγώγ,Magog
Μαδιάμ,Midian
Μαθθάτ,Matthat
Μαθθίας,Matthias
Μαθθαῖος,Mateus
Μαθουσαλά,Matusalém
Μακεδονία,Macedônia
Μακεδών,Macedônio
Μαλελεήλ,"Mahalaleel, Maallillel"
Μαναήν,Manaen
Μανασσῆ,Manasséh
Μαρία,Maria
Ματθάν,Matthan
Ματταθά,Mattatha
Ματταθίας,Mattatias
Μελίτη,"Melita, malta"
Μελεά,Melea
Μελχί,Melchi
Μελχισέδεκ,Melquisedeque
Μεσοποταμία,Mesopotâmia
Μεσσίας,messias
Μιτυλήνη,Mitlene
Μιχαήλ,Michael
Μνάσων,Mnason
Μυσία,Mysia
Μωϋσῆς,Moisés
Μόλοχ,Moloch
Μύρα,Myra
Μᾶρκος,marca
Μῆδος,Parcialmente
Νάρκισσος,Narciso
Νίγερ,Níger
Ναΐν,Anão
Ναασσών,Nahshon
Ναγγαί,Naggai
Ναζαρά,Nazaré
Ναζαρηνός,de Nazaré
