lex,default
Αἴγυπτος,Egipto
Βαβυλών,Babilonia
Βαραββᾶς,Barrabás
Βαρναβᾶς,Bernabé
Βηθανία,Betania
Γαλιλαία,Galilea
Γαλιλαῖος,galileo
Δαμασκός,Damasco
Δαυίδ,David
Ζαχαρίας,Zacarías
Ζεβεδαῖος,Zebedeo
Θωμᾶς,Tomás
Καισάρεια,Cesarea
Καφαρναούμ,Capernaum
Καῖσαρ,César
Λάζαρος,Lázaro
Μάρθα,Marta
Μαγδαληνή,mujer de Magdala
Μακεδονία,Macedonia
Μαρία,"María, Miriam"
Μωϋσῆς,Moisés
Ναζαρά,Nazaret
Ναζωραῖος,"nazareno, habitante de Nazaret"
Πέτρος,Pedro
Παῦλος,Pablo
Πιλᾶτος,Pilato
Σίμων,Simón
Σαδδουκαῖος,saduceo
Σαμάρεια,Samaría
Σατανᾶς,"adversario, Satanás"
Σαῦλος,"Saúl, apóstol"
Σιλᾶς,Silas
Σολομών,Salomón
Τίτιος,Tito
Τίτος,Tito
Τιμόθεος,Timoteo
Τύρος,Tiro
Φίλιππος,Felipe
Φαρισαῖος,fariseo
Φῆστος,Festo
Χριστός,"ungido, Mesías, Cristo"
αἰτέω,"pedir, suplicar, rogar"
αἰτία,"causa, razón, acusación"
αἰών,"siglo, ciclo de tiempo"
αἰώνιος,"eterno, para siempre"
αἴρω,levantar
αἷμα,sangre
αὐλή,"patio, palacio, casa"
αὐξάνω,"hacer crecer; crecer, aumentar"
αὐτός,"el, ella, ellos"
αὔριον,mañana
βάλλω,"echar, tirar, arrojar; poner; dejar caer"
βάπτισμα,bautismo
βίβλος,libro
βαπτίζω,"bautizar, lavar, sumergir."
βαπτιστής,"Bautista, aquel que bautiza"
βασανίζω,atormentar; agitar (las olas)
βασιλεία,"reino, soberanía, autoridad"
βασιλεύς,"rey, gobernante, emperador"
βασιλεύω,"reinar, mandar"
βαστάζω,"llevar, soportar"
βιβλίον,libro
βλέπω,"mirar, ver"
βλασφημέω,"blasfemar, insultar, difamar"
βλασφημία,"blasfemia; difamación, calumnia, insulto"
βοάω,"exclamar, clamar, gritar"
βουλή,"consejo, propósito, sabiduría"
βούλομαι,"querer, desear; intentar"
βροντή,trueno
βρῶμα,"comida, alimiento"
βρῶσις,"comida, alimento, vianda; herrumbre, orín"
βῆμα,tribunal de justicia; distancia de un paso
γάμος,"boda, fiesta de casamiento"
γάρ,"porque, puesto que; pues"
γέ,por lo menos; ciertamente; en realidad
γέεννα,gehenna
γέμω,estar lleno; estar cubierto
γένος,"raza, nación, pueblo; familia, linaje"
γίνομαι,"llegar a ser, estar; suceder; aparecer"
γαμέω,casarse
γενεά,"generación; tiempo, época; descendencia, posteridad"
γεννάω,"engendrar, nacer"
γεωργός,"labrador, viñador"
γεύομαι,"probar, experimentar"
γινώσκω,"conocer, aprender, descubrir"
γλῶσσα,"lengua, idioma, nación"
γνωρίζω,"dar a conocer, declarar, saber"
γνωστός,"sabido, conocido, notorio"
γνῶσις,"conocimiento, sabiduría, doctrina"
γονεύς,padres
γράμμα,"escritos, carta, aprendizaje"
γράφω,escribir
γραμματεύς,escriba
γραφή,"escrituras, pasaje de las escrituras"
γρηγορέω,"estar en vela, vigilar, estar alerta"
γυμνός,desnudo
γυνή,"mujer, esposa"
γόνυ,rodilla
γῆ,"tierra; país, región"
δάκρυον,lágrima
δέ,"pero, mas, sino, más bien"
δέησις,"oración, petición"
δέκα,diez
δένδρον,árbol
δέομαι,"pedir, rogar"
δέρω,"golpear, azotar"
δέσμιος,"uno atado, prisionero"
δέχομαι,"tomar, recibir, aceptar, dar bienvenida"
δέω,atar
δίδωμι,"ofrecer, dar"
δίκαιος,"justo, recto, imparcial"
δίκτυον,red de pesca
δαιμονίζομαι,estar endemoniado
δαιμόνιον,demonio
δείκνυμι,"señalar, mostrar"
δεξιός,"en la mano derecha, mano derecha, derecha"
δεσμός,"atadura, cadena"
δεσπότης,"señor, dueño, maestro, principe"
δεύτερος,"segundo, en segundo lugar, por segunda vez"
δεῖ,(impers.) es necesario
δεῖπνον,cena
δεῦτε,¡vengan!
δηνάριον,denario
διά,a través de (gen); por causa de (acus)
διάβολος,"difamatorio, el Difamador, el Diablo"
διάκονος,"ayudante, siervo, diácono, administrador"
διάνοια,"mente, entendimiento; pensamiento"
διέρχομαι,pasar por; reportar
διαθήκη,"pacto, alianza; testamento"
διακονέω,"servir, ministrar, cuidar, atender, ayudar"
διακονία,"servicio, ministerio"
διακρίνω,"distinguir, discernir, dudar, vacilar"
διαλέγομαι,"conversar, dirigir, predicar, hablar"
διαλογίζομαι,"razonar, debatir, considerar"
διαλογισμός,"calculación, pensamiento, pregunta"
διαμαρτύρομαι,declarar solemnemente
διαμερίζω,"dividir, distribuir"
διατάσσω,"dar órdenes, prescribir"
διαφέρω,ser diferente; ser superior
διδάσκαλος,maestro
διδάσκω,enseñar
διδασκαλία,"instrucción, enseñanza"
διδαχή,"enseñanza, doctrina"
δικαίωμα,cosa pronunciado ser justo
δικαιοσύνη,"justicia, rectitud"
δικαιόω,"justificar, defender"
διψάω,"tener sed, desear sinceramente"
διωγμός,persecución
διό,por que
διότι,porque
διώκω,perseguir
δοκέω,pensar; parecer
δοκιμάζω,"poner a prueba, probar, examinar"
δοξάζω,"glorificar, honrar"
δουλεύω,servir
δοῦλος (II),siervo
δράκων,dragón
δυνατός,"poderoso, poder, posible"
δωρεά,regalo
δόλος,"engaño, mentira, traición"
δόξα,"honor, renombre, gloria"
δύναμαι,"ser poderoso, ser capaz, poder hacer"
δύναμις,"poder, fuerza; maravillas, milagros"
δύο,dos
δώδεκα,doce
δῶρον,"ofrenda, regalo, don"
εἰ,si
εἰκοσιτρεῖς,veinte
εἰκών,"imagen, semejanza; estatua, ícono"
εἰμί,"ser, existir"
