lex,default
Αἰγύπτιος,"misri, wamisri, mmisri, tulikaa, yewato"
Αἰθίοψ,kandake
Αἰνέας,ainea
Αἰνών,ainoni
Αἴγυπτος,misri
Αὐγοῦστος,augusto
Βάαλ,"baali, mabaali, mtengez"
Βέροια,"beroya, vurug"
Βαβυλών,"Babeli,"
Βαλάκ,"balaki, angenipa, nijengee"
Βαλαάμ,balaamu
Βαράκ,baraka
Βαραββᾶς,Baraba
Βαραχίας,"barakia, yemwu"
Βαρθολομαῖος,bartholomayo
Βαριησοῦς,bar-yesu
Βαριωνᾶ,baryona
Βαρναβᾶς,Barinaba
Βαρσαββᾶς,barsaba
Βαρτιμαῖος,bartimayo
Βεελζεβούλ,Beelzebuli
Βελιάρ,"yefa, wasiofaa, baradhul, mafuriko, yofa"
Βενιαμίν,"benyamini, wabenyamini"
Βερνίκη,bernike
Βεροιαῖος,"piro, sekundo"
Βηθανία,Bethania
Βηθλέεμ,"Bethlehemu,"
Βηθσαϊδά,"Bethsaida,"
Βηθφαγή,bethfage
Βιθυνία,bithinia
Βλάστος,blasto
Βοανηργές,boanerge
Βόες,boazi
Γάδ,"gadi, linga"
Γάϊος,gayo
Γαββαθά,gabatha
Γαβριήλ,gabrieli
Γαδαρηνός,wagadara
Γαλάτης,galatia
Γαλατία,galatia
Γαλατικός,galatia
Γαλιλαία,"Galilaya,"
Γαλιλαῖος,"Galilaya,"
Γαλλίων,galio
Γαμαλιήλ,gamalieli
Γεδεών,gideoni
Γεθσημανί,gethsemane
Γεννησαρέτ,genesareti
Γολγοθᾶ,golgotha
Γόμορρα,gomora
Γώγ,gogu
Δάμαρις,damari
Δίδυμος,pach
Δαλμανουθά,dalmanutha
Δαλματία,dalmatia
Δαμασκηνός,dameski
Δαμασκός,Damaski
Δανιήλ,danieli
Δαυίδ,Daudi
Δεκάπολις,dekapoli
Δημήτριος,demetrio
Δημᾶς,dema
Διονύσιος,dionisio
Διοτρέφης,"diotrefe, liandiki"
Διόσκουροι,imekaa
Δορκάς,dorkasi
Δρούσιλλα,drusila
Εὐνίκη,eunike
Εὐοδία,euodia
Εὐφράτης,frati
Εὔβουλος,"pude, eubulo"
Εὔτυχος,eutiko
Εὕα,"adamu, nahofu"
Ζάρα,"zera, sohari"
Ζαβουλών,zabuloni
Ζακχαῖος,zakayo
Ζαχαρίας,"Zakaria,"
Ζεβεδαῖος,Zebedayo
Ζεύς,zeu
Ζηνᾶς,"zena, pungukiw"
Ζοροβαβέλ,zerubabeli
Θάρα,tera
Θαδδαῖος,thadayo
Θαμάρ,"tamari, mwanda"
Θεσσαλονίκη,thesalonike
Θεσσαλονικεύς,"wathesalonike, thesalonike"
Θευδᾶς,"theuda, jida"
Θεόφιλος,theofilo
Θυάτειρα,"thiatira, sitaweka"
Θωμᾶς,Tomaso
Κάρπος,"ujap, karpo"
Κάϊν,kaini
Κίς,kishi
Καισάρεια,Kaisaria
Κανά,kana
Καναναῖος,"mkananayo, zelote, walivyo, jitahidini, juhudi"
Κανδάκη,kandake
Καππαδοκία,kapadokia
Καφαρναούμ,Kapanaumu
Καϊάφας,Kaiyafas
Καϊνάμ,kenani
Καῖσαρ,"kaisari,"
Καῦδα,kauda
Κεγχρεαί,kenkrea
Κεδρών,"mierezi, mwerezi, yaivunja"
Κηφᾶς,Kaiyafas
Κιλικία,Kilikia
Κλήμης,"klementi, uwasaidie"
Κλαυδία,klaudia
Κλαύδιος,klaudio
Κλεοπᾶς,kleopa
Κλωπᾶς,klopa
Κνίδος,nido
Κολοσσαί,kolosai
Κορίνθιος,wakorintho
Κορνήλιος,Kornelio
Κούαρτος,kwarto
Κρής,wakrete
Κρήσκης,kreske
Κρήτη,krete
Κρίσπος,krispo
Κυρήνη,"mkirene, kirene"
Κυρήνιος,kirenio
Κυρηναῖος,"Mkirene,Wakirene"
Κωσάμ,kosamu
Κόρε,"kora, wakorahi"
Κόρινθος,Korintho
Κύπριος,kipro
Κύπρος,"kitimu, kipro, yeaibish, tumeni, usizidi"
Κώς,kosi
Λάζαρος,Lazaro
Λάμεχ,lameki
Λίνος,klaudia
Λαοδίκεια,Laodikia
Λαοδικεύς,"walaodikia, shen, usomwe"
Λασαία,lasea
Λευί,"lawi, ngan"
Λευίτης,"walawi, mlawi, lawi"
Λευιτικός,"walawi, mlawi, lawi"
Λιβερτῖνος,"hali, wakirene, mahuru, waiskanderia"
Λιβύη,libya
Λουκᾶς,luka
Λούκιος,lukio
Λυδία,lidia
Λυκία,likia
Λυκαονία,likaonia
Λυκαονιστί,kilikaonia
Λυσίας,lisia
Λυσανίας,trakoniti
Λωΐς,loisi
Λύδδα,lida
Λύστρα,Listra
Λώτ,"lutu, wakw"
Μάαθ,maathi
Μάλχος,malko
Μάρθα,Martha
Μίλητος,mileto
Μαγδαληνή,Magdalena
Μαγώγ,magogu
Μαδιάμ,"midiani, wamidiani, mmidiani, yekutu"
Μαθθάτ,mathati
Μαθθίας,mathiya
Μαθθαῖος,mathayo
Μαθουσαλά,methusela
Μακεδονία,Makedonia
Μακεδών,"makedonia, wamakedonia, hamjawa"
Μαλελεήλ,mahalaleli
Μαναήν,manaeni
Μανασσῆ,manase
Μαρία,Mariamu
Ματθάν,matani
Ματταθά,matatha
Ματταθίας,matathia
Μελίτη,melita
Μελεά,melea
Μελχί,melki
Μελχισέδεκ,Melkizedeki
Μεσοποταμία,"mesopotamia, atam-maaka, alipopambana, waaramu, zoba"
Μεσσίας,"masihi, tufunuli"
Μιτυλήνη,mitilene
Μιχαήλ,mikaeli
Μνάσων,mnasoni
Μυσία,misia
Μωϋσῆς,Musa
Μόλοχ,"moleki, usimtoe, wandama"
Μύρα,mira
Μᾶρκος,Mariko
Μῆδος,"wamedi, umedi, mmedi, maarufu"
Νάρκισσος,narkiso
Νίγερ,nigeri
Ναΐν,naini
Ναασσών,nashoni
Ναγγαί,nagai
Ναζαρά,Nazareti
Ναζαρηνός,"Mnazareti,"
Ναζωραῖος,"Mnazareti, wanazareti"
Ναθάμ,nathani
Ναθαναήλ,Nathanaeli
Ναιμάν,naamani
Ναούμ,nahumu
Ναχώρ,nahori
Νεφθαλίμ,naftali
Νηρί,"resa, zerubabeli, yoana, neri, shealtieli"
Νηρεύς,nerea
Νικάνωρ,nikanori
Νικολαΐτης,"wanikolai, wayachukia"
Νικόδημος,nikodemo
Νικόλαος,nikolao
Νικόπολις,nikopoli
Νινευίτης,"ninawi, waninawi"
Νύμφα,nimfa
Νῶε,nuhu
Οὐρίας,uria
Οὐρβανός,urbano
Πάρθος,waparthi
Πάταρα,patara
Πάτμος,patmo
Πάφος,pafo
Πέργαμος,pergamo
Πέργη,perge
Πέτρος,Petro
Παμφυλία,pamfilia
Παρμενᾶς,parmena
Πατροβᾶς,patroba
Παῦλος,Paulo
Περσίς,persisi
Πιλᾶτος,Pilato
Πισίδιος,pisidia
Πισιδία,pisidia
Ποντικός,ponto
Ποτίολοι,puteoli
Πούδης,lino
Πρίσκα,priskila
Πρόχορος,prokoro
Πτολεμαΐς,"waamku, tolemai"
Πόντιος,pontio
Πόντος,ponto
Πόπλιος,publio
Πόρκιος,porkio
Πύρρος,"jekundu, wauane"
Σάμος,trogilio
Σάπφιρα,"safira, aliuza"
Σάρδεις,sardi
Σάρεπτα,sarepta
Σάρρα,"sara, muhula"
Σέργιος,sergio
Σήθ,"sethi, ghasia"
Σήμ,shemu
Σίμων,Simoni
Σαβαώθ,majeshi
Σαδδουκαῖος,Masadukayo
Σαδώκ,sadoki
Σαλά,salmoni
Σαλήμ,salemu
Σαλαθιήλ,shealtieli
Σαλαμίς,salami
Σαλείμ,ainoni
Σαλμών,salmoni
Σαλμώνη,"salmone, ikabil"
Σαλώμη,salome
Σαμάρεια,"Samaria, wasamaria, msamaria"
Σαμαρίτης,"Samaria, Wasamaria, Msamaria"
Σαμαρῖτις,"samaria, wasamaria, msamaria"
Σαμοθρᾴκη,samothrake
Σαμουήλ,"samweli, shemueli, kusanyi"
Σαμψών,"samsoni, tumeshuka"
Σαούλ,"Saulo,"
Σαρών,"sharoni, lasharoni"
Σατανᾶς,Shetani
Σαῦλος,Saulo
Σεκοῦνδος,sopatro
Σελεύκεια,seleukia
Σεμεΐν,semei
Σερούχ,serugi
Σιδών,"Sidoni,"
Σιδώνιος,"sidoni, wasidoni, uuelekezee, uvipeleke"
Σιλουανός,"sila, silwano, nijuavyo"
Σιλωάμ,siloamu
Σιλᾶς,Silas
Σινᾶ,"sinai, shuki, tuusi"
Σιών,Sayuni
Σκευᾶς,skewa
Σκύθης,mshenzi
Σμύρνα,"smirna, aneneyo"
Σολομών,Suleimani
Σουσάννα,susana
Σπανία,spania
Στάχυς,stakisi
Στέφανος,Stefano
Στεφανᾶς,stefana
Στοϊκός,waepikureo
Συμεών,Simeoni
Συντύχη,sintike
Συράκουσαι,sirakusa
Συρία,Shamu
Συροφοινίκισσα,"msirofoinike, amto"
Συχάρ,sikari
Συχέμ,"shekemu, hawachungi"
Σωσίπατρος,sosipatro
Σωσθένης,sosthene
Σόδομα,Sodoma
Σύρος,shamu
Σύρτις,sirti
Σώπατρος,sopatro
Τέρτιος,tertio
Τέρτυλλος,tertulo
Τίμων,timoni
Τίτιος,Tito
Τίτος,Tito
Ταβιθά,tabitha
Ταρσεύς,tarso
Ταρσός,tarso
Τιβέριος,tiberio
Τιβεριάς,"tiberia, zikaja"
Τιμαῖος,timayo
Τιμόθεος,Timotheo
Τραχωνῖτις,iturea
Τρυφῶσα,trifosa
Τρόφιμος,trofimo
Τρύφαινα,trifaina
Τρῳάς,Troa
Τυχικός,tikiko
Τύραννος,tirano
Τύριος,tiro
Τύρος,Tiro
Φάλεκ,pelegi
Φάρες,"peresi, ifanane"
Φίλητος,fileto
Φίλιπποι,filipi
Φίλιππος,Filipo
Φανουήλ,fanueli
Φαραώ,"farao, asiwape"
Φαρισαῖος,"mafarisayo, wafarisayo"
Φιλήμων,filemoni
Φιλαδέλφεια,"filadelfia, yapele"
Φιλιππήσιος,wafilipi
Φιλόλογος,filologo
Φλέγων,flegoni
Φοίβη,fibi
Φοινίκη,foinike
Φορτουνᾶτος,"akaiko, fortunato"
Φοῖνιξ,haifai
Φρυγία,frigia
Φύγελος,epuk
Φῆλιξ,Feliki
Φῆστος,Festo
Χίος,kio
Χαλδαῖος,"wakaldayo, ukaldayo, mkaldayo"
Χανάαν,"kanaani, biashara"
Χαναναῖος,"wakanaani, mkanaani, tuzingir, mtwali"
Χαρράν,harani
Χερούβ,kerub
Χλόη,kloe
Χοραζίν,korazini
Χουζᾶς,susana
Χριστιανός,"kristo, bwana"
Χριστός,"Kristo, Messiah, aliyewekwa wakfu"
αἰγιαλός,fukwe
αἰδώς,"si, nywele, poke, adab, basi"
αἰνέω,sifu
αἰσθάνομαι,"tambu, fahami"
αἰσθητήριον,kigumu
αἰσχροκερδής,"tama, aibu, fedha, choy, patikan"
αἰσχροκερδῶς,"tama, aibu, fedha, choy, patikan"
αἰσχρολογία,"masuto, ubishi"
αἰσχρός,"aibu, haya, fedheha, aibish, hayar"
αἰσχρότης,"masuto, ubishi"
αἰσχύνη,"aibu,  fedheha,"
αἰσχύνω,"haya, aibi, tahayari, aibish, hayar"
αἰτέω,"omba, anayekuomba"
αἰτία,sababu yoyote
αἰτίωμα,"ulinzi, hudum, agiz, tunz, wao"
αἰφνίδιος,"ghafla, mara, liji, yadhihiri, sil"
αἰχμάλωτος,"mateka, twa, uhamisho, hamish, wafungwa"
αἰχμαλωσία,"mateka, twa, uhamisho, hamish, wafungwa"
αἰχμαλωτίζω,"mateka, twa, uhamisho, hamish, wafungwa"
αἰχμαλωτεύω,"mateka, twa, uhamisho, hamish, wafungwa"
αἰών,"milele, enzi"
αἰώνιος,wa milele
αἱματεκχυσία,"damu, dhuluma, mwuaji, vunja"
αἱμορροέω,upindo
αἱρέω,"chagu, wateule, chaguli, mteule, acha"
αἱρετίζω,"chagu, wateule, chaguli, mteule, acha"
αἱρετικός,mzushi
αἴγειος,"mbuz, beber, mwit"
αἴνεσις,"sifa, baraka, tuku, shukrani, ahimidiwe"
