lex,default,qal,nif,piel,pual,hit,hif,hof,hsht,pasq,etpa,nit,hotp,tif,htpa,poal,poel,peal,peil,pael,haf,afel,shaf,htpe,etpe
<B/,,,,,,,,,,,,,,,,,,,,,,,,,
<B=/,,,,,,,,,,,,,,,,,,,,,,,,,
<B==/,,,,,,,,,,,,,,,,,,,,,,,,,
<BC[,,,,,,,,,,,,,,,,,,,,,,,,,
<BD/,"አገልጋይ ባርያ, አገልጋይ, ባርያ",,,,,,,,,,,,,,,,,,,,,,,,
<BD=/,,,,,,,,,,,,,,,,,,,,,,,,,
<BD==/,,,,,,,,,,,,,,,,,,,,,,,,,
<BD>/,,,,,,,,,,,,,,,,,,,,,,,,,
<BD>L/,,,,,,,,,,,,,,,,,,,,,,,,,
<BDH/,,,,,,,,,,,,,,,,,,,,,,,,,
<BDH=/,,,,,,,,,,,,,,,,,,,,,,,,,
<BDJ/,,,,,,,,,,,,,,,,,,,,,,,,,
<BDJ>L/,,,,,,,,,,,,,,,,,,,,,,,,,
<BDJH/,,,,,,,,,,,,,,,,,,,,,,,,,
<BDJHW/,,,,,,,,,,,,,,,,,,,,,,,,,
<BDT/,,,,,,,,,,,,,,,,,,,,,,,,,
<BDWN/,,,,,,,,,,,,,,,,,,,,,,,,,
<BDWN=/,,,,,,,,,,,,,,,,,,,,,,,,,
<BD[,,"አገለገለ,  ማገልገል",መልማት,,መሰራት,,እንዲሰራ ማድረግ,እንዲገለገል ማድረግ,,,,,,,,,,,,,,,,,
<BD_>DWM/,,,,,,,,,,,,,,,,,,,,,,,,,
<BD_MLK/,,,,,,,,,,,,,,,,,,,,,,,,,
<BD_NGW/,,,,,,,,,,,,,,,,,,,,,,,,,
<BH[,,,,,,,,,,,,,,,,,,,,,,,,,
<BJ/,,,,,,,,,,,,,,,,,,,,,,,,,
<BJDH/,,,,,,,,,,,,,,,,,,,,,,,,,
<BR/,,,,,,,,,,,,,,,,,,,,,,,,,
<BR=/,,,,,,,,,,,,,,,,,,,,,,,,,
<BR=[,,,,,,,,,,,,,,,,,,,,,,,,,
<BRH/,,,,,,,,,,,,,,,,,,,,,,,,,
<BRH=/,,,,,,,,,,,,,,,,,,,,,,,,,
<BRJ/,,,,,,,,,,,,,,,,,,,,,,,,,
<BRJ=/,,,,,,,,,,,,,,,,,,,,,,,,,
<BRJM/,,,,,,,,,,,,,,,,,,,,,,,,,
<BRN/,,,,,,,,,,,,,,,,,,,,,,,,,
