lex,default,qal,nif,piel,pual,hit,hif,hof,hsht,pasq,etpa,nit,hotp,tif,htpa,poal,poel
<B/,云,,,,,,,,,,,,,,,,
<B=/,云,,,,,,,,,,,,,,,,
<B==/,云,,,,,,,,,,,,,,,,
<BC[,枯萎；干枯,,,,,,,,,,,,,,,,
<BD/,奴隶；仆人；官员；臣民；附庸,,,,,,,,,,,,,,,,
<BD=/,作为,,,,,,,,,,,,,,,,
<BD==/,奴隶；仆人；官员；臣民；附庸,,,,,,,,,,,,,,,,
<BD>/,亚比大，《思》阿贝达,,,,,,,,,,,,,,,,
<BD>L/,亚伯迭，《思》哈贝德耳,,,,,,,,,,,,,,,,
<BDH/,工作；劳动；服务,,,,,,,,,,,,,,,,
<BDH=/,仆人，仆婢,,,,,,,,,,,,,,,,
<BDJ/,亚伯底，《思》阿贝狄,,,,,,,,,,,,,,,,
<BDJ>L/,押比迭，《思》阿贝狄耳,,,,,,,,,,,,,,,,
<BDJHW/,奴隶；仆人；官员；臣民；附庸,,,,,,,,,,,,,,,,
<BDWN/,押顿，《思》阿贝冬,,,,,,,,,,,,,,,,
<BDWN=/,押顿，《思》阿贝冬,,,,,,,,,,,,,,,,
<BD[,服事（某人 ),服侍,被耕作,,与之一起工作,,使服侍,被引去服侍,,,,,,,,,
<BD_>DWM/,俄别‧以东，《思》敖贝得厄东,,,,,,,,,,,,,,,,
<BD_MLK/,以伯‧米勒，《思》厄贝得默肋客,,,,,,,,,,,,,,,,
<BD_NGW/,亚伯尼歌，《思》阿贝得乃哥,,,,,,,,,,,,,,,,
<BH[,胖；粗,,,,,,,,,,,,,,,,
<BJ/,厚的,,,,,,,,,,,,,,,,
<BR/,一边；侧面,,,,,,,,,,,,,,,,
<BR=/,一边；侧面,,,,,,,,,,,,,,,,
<BR=[,经过；路过；过去；穿过；横过,,,,,,,,,,,,,,,,
<BRH/,浅滩；渡口,,,,,,,,,,,,,,,,
<BRH=/,傲慢无礼；傲慢,,,,,,,,,,,,,,,,
<BRJ/,希伯来，《思》希伯来,,,,,,,,,,,,,,,,
<BRJ=/,希伯来，《思》希伯来,,,,,,,,,,,,,,,,
<BRJM/,亚巴琳，《思》阿巴陵,,,,,,,,,,,,,,,,
<BRN/,义伯仑，《思》阿贝冬,,,,,,,,,,,,,,,,
<BRNH/,阿博拿，《思》阿贝洛纳,,,,,,,,,,,,,,,,
<BR[,经过；路过；过去；穿过；横过,越过,被越过,交配,,,使越过,,,,,,,,,,
<BT/,绳子,,,,,,,,,,,,,,,,
<BV=[,借入,,,,,,,,,,,,,,,,
<BVJV/,当头，抵押品,,,,,,,,,,,,,,,,
<BV[,借入,借取,,,,,以质押出借,,,,,,,,,,
<BWT/,枝叶繁茂,,,,,,,,,,,,,,,,
<BWV/,当头，抵押品,,,,,,,,,,,,,,,,
<C/,蛾,,,,,,,,,,,,,,,,
<C=/,蛾,,,,,,,,,,,,,,,,
<C==/,蛾,,,,,,,,,,,,,,,,
