lex,default
<B/,雲
<B=/,雲
<B==/,雲
<BC[,枯萎；乾枯
<BD/,奴隸；僕人；官員；臣民；附庸
<BD=/,作為
<BD==/,奴隸；僕人；官員；臣民；附庸
<BD>/,亞比大，《思》阿貝達
<BD>L/,亞伯疊，《思》哈貝德耳
<BDH/,工作；勞動；服務
<BDH=/,僕人，僕婢
<BDJ/,亞伯底，《思》阿貝狄
<BDJ>L/,押比疊，《思》阿貝狄耳
<BDJHW/,奴隸；僕人；官員；臣民；附庸
<BDWN/,押頓，《思》阿貝冬
<BDWN=/,押頓，《思》阿貝冬
<BD[,服事（某人 )
<BD_>DWM/,俄別‧以東，《思》敖貝得厄東
<BD_MLK/,以伯‧米勒，《思》厄貝得默肋客
<BD_NGW/,亞伯尼歌，《思》阿貝得乃哥
<BH[,胖；粗
<BJ/,厚的
<BR/,一邊；側面
<BR=/,一邊；側面
<BR=[,經過；路過；過去；穿過；橫過
<BRH/,淺灘；渡口
<BRH=/,傲慢無禮；傲慢
<BRJ/,希伯來，《思》希伯來
<BRJ=/,希伯來，《思》希伯來
<BRJM/,亞巴琳，《思》阿巴陵
<BRN/,義伯崙，《思》阿貝冬
<BRNH/,阿博拿，《思》阿貝洛納
<BR[,經過；路過；過去；穿過；橫過
<BT/,繩子
<BV=[,借入
<BVJV/,當頭，抵押品
<BV[,借入
<BWT/,枝葉繁茂
<BWV/,當頭，抵押品
<C/,蛾
<C=/,蛾
<C==/,蛾
<CC[,變得軟弱；變衰弱
<CJR/,有錢人；財主
<CQ/,敲詐勒索；濫權
<CQ=/,以設，《思》厄舍克
<CQH/,困擾；陷入困境
<CQ[,敲詐勒索；詐騙；濫權
<CR/,財富；錢財
<CR[,富有；變得富有
<CT/,牌匾？牌子？板塊？方塊？
<CTJ/,十一；第十一
<CTRT/,亞斯她錄，《思》阿市托勒特
<CTRT=/,小綿羊；小山羊
<CTRT==/,亞斯她錄，《思》阿市托勒特
<CTRTJ/,亞施他拉人，《思》阿市塔洛特人
<CTRT_QRNJM/,亞特律‧加寧，《思》阿市塔特卡爾納殷
<CTRWT/,亞斯她錄，《思》阿舍塔洛特，阿市塔洛特
<CTWT/,思想；意見
<CWT=/,亞施法，《思》阿市瓦特
<D<DH/,亞大達，《思》阿爾阿辣
<D=/,見證，證人
<DCH/,紅豆，小扁豆
<DH/,見證；規定
<DH=/,見證；規定
<DH===/,亞大，《思》阿達
<DJ/,首飾；珠寶
<DJ>L/,亞底業，《思》阿狄耳
