lex,default,qal,nif,piel,pual,hit,hif,hof,hsht,pasq,etpa,nit,hotp,tif,htpa,poal,poel,peal,peil,pael,haf,afel,shaf,htpe,etpe
<B/,wolk,,,,,,,,,,,,,,,,,,,,,,,,
<B=/,[dub] technische term voor houten voorwerp,,,,,,,,,,,,,,,,,,,,,,,,
<B==/,struikgewas,,,,,,,,,,,,,,,,,,,,,,,,
<BC[,,opdrogen,,,,,,,,,,,,,,,,,,,,,,,
<BD/,"slaaf, knecht",,,,,,,,,,,,,,,,,,,,,,,,
<BD=/,"[*] daden, werken",,,,,,,,,,,,,,,,,,,,,,,,
<BD==/,Ebed,,,,,,,,,,,,,,,,,,,,,,,,
<BD>/,Abda,,,,,,,,,,,,,,,,,,,,,,,,
<BD>L/,Abdiël,,,,,,,,,,,,,,,,,,,,,,,,
<BDH/,"arbeid, dienst",,,,,,,,,,,,,,,,,,,,,,,,
<BDH=/,"de bedienden, de slaven",,,,,,,,,,,,,,,,,,,,,,,,
<BDJ/,Abdi,,,,,,,,,,,,,,,,,,,,,,,,
<BDJ>L/,Abdiël,,,,,,,,,,,,,,,,,,,,,,,,
<BDJH/,Obadja,,,,,,,,,,,,,,,,,,,,,,,,
<BDJHW/,Obadja,,,,,,,,,,,,,,,,,,,,,,,,
<BDT/,[*] slavernij,,,,,,,,,,,,,,,,,,,,,,,,
<BDWN/,Abdon,,,,,,,,,,,,,,,,,,,,,,,,
<BDWN=/,Abdon,,,,,,,,,,,,,,,,,,,,,,,,
<BD[,,"werken, dienen, vereren",bewerkt worden,,[+ prep ב] gedaan worden door,,"laten werken, iemand laten dienen",zich tot verering laten verleiden,,,,,,,,,,"doen, maken",,,,,,gedaan worden,
<BD_>DWM/,Obed-Edom,,,,,,,,,,,,,,,,,,,,,,,,
<BD_MLK/,Ebed-Melech,,,,,,,,,,,,,,,,,,,,,,,,
<BD_NGW/,Abednego,,,,,,,,,,,,,,,,,,,,,,,,
<BH[,,"dik worden, vetmesten",,,,,,,,,,,,,,,,,,,,,,,
<BJ/,dikte,,,,,,,,,,,,,,,,,,,,,,,,
<BJDH/,"werk, dienst",,,,,,,,,,,,,,,,,,,,,,,,
<BR/,overzijde,,,,,,,,,,,,,,,,,,,,,,,,
<BR=/,Eber,,,,,,,,,,,,,,,,,,,,,,,,
<BR=[,,,,,,"zich vertoornt tonen, zich opwinden",,,,,,,,,,,,,,,,,,,
<BRH/,"stijging, woede, razernij",,,,,,,,,,,,,,,,,,,,,,,,
<BRH=/,doorwaadbare plaats,,,,,,,,,,,,,,,,,,,,,,,,
<BRJ/,Hebreeër,,,,,,,,,,,,,,,,,,,,,,,,
<BRJ=/,Ibri,,,,,,,,,,,,,,,,,,,,,,,,
<BRJM/,Abarim,,,,,,,,,,,,,,,,,,,,,,,,
<BRN/,Ebron,,,,,,,,,,,,,,,,,,,,,,,,
<BRNH/,Abrobna,,,,,,,,,,,,,,,,,,,,,,,,
<BR[,,"verder trekken, door trekken, voorbij gaan, de weg vervolgen  ?met voorzetsels","doorwaadbaar, ??","(?kettingen) spannen, dekken (stier)",,,"voorbij doen gaan, wegnemen, aanbieden (offers)",,,,,,,,,,,,,,,,,,
<BT/,"touw, koord",,,,,,,,,,,,,,,,,,,,,,,,
<BT[,,,,"in elkaar draaien, samenspannen",,,,,,,,,,,,,,,,,,,,,
<BV=[,,,,verdwalen,,,,,,,,,,,,,,,,,,,,,
<BVJV/,onderpand schuld,,,,,,,,,,,,,,,,,,,,,,,,
<BV[,,"lenen, een onderpand aannemen",,,,,tegen een gewaarborgd onderpand lenen,,,,,,,,,,,,,,,,,,
<BWR/,"omdat, terwille van, zo dat",,,,,,,,,,,,,,,,,,,,,,,,
<BWR=/,opbrengst,,,,,,,,,,,,,,,,,,,,,,,,
<BWT/,[*] knoestig,,,,,,,,,,,,,,,,,,,,,,,,
<BWT=/,takken,,,,,,,,,,,,,,,,,,,,,,,,
<BWV/,onderpand,,,,,,,,,,,,,,,,,,,,,,,,
<C/,,,,,,,,,,,,,,,,,,,,,,,,,
<C=/,,,,,,,,,,,,,,,,,,,,,,,,,
<C==/,,,,,,,,,,,,,,,,,,,,,,,,,
<CC[,,,,,,,,,,,,,,,,,,,,,,,,,
<CJR/,,,,,,,,,,,,,,,,,,,,,,,,,
