lex,default,qal,nif,piel,pual,hit,hif,hof,hsht,pasq,etpa,nit,hotp,tif,htpa,poal,poel,peal,peil,pael,haf,afel,shaf,htpe,etpe
<B/,"cloud, cloud-mass",,,,,,,,,,,,,,,,,,,,,,,,
<B=/,(architectural),,,,,,,,,,,,,,,,,,,,,,,,
<B==/,thicket,,,,,,,,,,,,,,,,,,,,,,,,
<BC[,,shrivel,,,,,,,,,,,,,,,,,,,,,,,
<BD/,"slave, servant",,,,,,,,,,,,,,,,,,,,,,,,
<BD=/,work,,,,,,,,,,,,,,,,,,,,,,,,
<BD==/,Ebed,,,,,,,,,,,,,,,,,,,,,,,,
<BD>/,Abda,,,,,,,,,,,,,,,,,,,,,,,,
<BD>L/,Abdeel,,,,,,,,,,,,,,,,,,,,,,,,
<BDH/,"work, service",,,,,,,,,,,,,,,,,,,,,,,,
<BDH=/,slaves (collective),,,,,,,,,,,,,,,,,,,,,,,,
<BDJ/,Abdi,,,,,,,,,,,,,,,,,,,,,,,,
<BDJ>L/,Abdiel,,,,,,,,,,,,,,,,,,,,,,,,
<BDJH/,Obadiah,,,,,,,,,,,,,,,,,,,,,,,,
<BDJHW/,Obadiah,,,,,,,,,,,,,,,,,,,,,,,,
<BDT/,servitude,,,,,,,,,,,,,,,,,,,,,,,,
<BDWN/,Abdon,,,,,,,,,,,,,,,,,,,,,,,,
<BDWN=/,Abdon,,,,,,,,,,,,,,,,,,,,,,,,
<BD[,,serve,be cultivated,,it is worked with,,"let work, serve",be led to serve,,,,,,,,,,"do, act, make",,,,,,"be done, made",
<BD_>DWM/,Obed-Edom,,,,,,,,,,,,,,,,,,,,,,,,
<BD_MLK/,Ebed-Melech,,,,,,,,,,,,,,,,,,,,,,,,
<BD_NGW/,Abednego,,,,,,,,,,,,,,,,,,,,,,,,
<BH[,,be thick,,,,,,,,,,,,,,,,,,,,,,,
<BJ/,thickness,,,,,,,,,,,,,,,,,,,,,,,,
<BJDH/,work; administration,,,,,,,,,,,,,,,,,,,,,,,,
<BR/,"side, region; opposite side; beyond",,,,,,,,,,,,,,,,,,,,,,,,
<BR=/,Eber,,,,,,,,,,,,,,,,,,,,,,,,
<BR=[,,,,,,become furious,,,,,,,,,,,,,,,,,,,
<BRH/,ford,,,,,,,,,,,,,,,,,,,,,,,,
<BRH=/,arrogance,,,,,,,,,,,,,,,,,,,,,,,,
<BRJ/,Hebrew,,,,,,,,,,,,,,,,,,,,,,,,
<BRJ=/,Ibri,,,,,,,,,,,,,,,,,,,,,,,,
<BRJM/,Abarim,,,,,,,,,,,,,,,,,,,,,,,,
<BRN/,Abdon,,,,,,,,,,,,,,,,,,,,,,,,
<BRNH/,Abronah,,,,,,,,,,,,,,,,,,,,,,,,
<BR[,,"pass over, transgress",be crossed,impregnate; make to pass across?,,,"cause to pass, let pass by; sacrifice; remove",,,,,,,,,,,,,,,,,,
<BT/,"rope, cord",,,,,,,,,,,,,,,,,,,,,,,,
<BT[,,,,pervert?,,,,,,,,,,,,,,,,,,,,,
<BV=[,,,,abandon,,,,,,,,,,,,,,,,,,,,,
<BVJV/,debt,,,,,,,,,,,,,,,,,,,,,,,,
<BV[,,borrow; take a pledge,,,,,lend on pledge,,,,,,,,,,,,,,,,,,
