lex,default,qal,nif,piel,pual,hit,hif,hof,hsht,pasq,etpa,nit,hotp,tif,htpa,poal,poel,peal,peil,pael,haf,afel,shaf,htpe,etpe
<B/,"Wolke, Gewölk",,,,,,,,,,,,,,,,,,,,,,,,
<B=/,<bautechnisch>,,,,,,,,,,,,,,,,,,,,,,,,
<B==/,Dickicht,,,,,,,,,,,,,,,,,,,,,,,,
<BC[,,eintrocknen,,,,,,,,,,,,,,,,,,,,,,,
<BD/,"Sklave, Knecht",,,,,,,,,,,,,,,,,,,,,,,,
<BD=/,Tat,,,,,,,,,,,,,,,,,,,,,,,,
<BD==/,Ebed,,,,,,,,,,,,,,,,,,,,,,,,
<BD>/,Abda,,,,,,,,,,,,,,,,,,,,,,,,
<BD>L/,Abdeël,,,,,,,,,,,,,,,,,,,,,,,,
<BDH/,"Arbeit, Dienst",,,,,,,,,,,,,,,,,,,,,,,,
<BDH=/,Sklaven <Kollektiv>,,,,,,,,,,,,,,,,,,,,,,,,
<BDJ/,Abdi,,,,,,,,,,,,,,,,,,,,,,,,
<BDJ>L/,Abdiël,,,,,,,,,,,,,,,,,,,,,,,,
<BDJH/,Obadja,,,,,,,,,,,,,,,,,,,,,,,,
<BDJHW/,Obadja,,,,,,,,,,,,,,,,,,,,,,,,
<BDT/,Knechtschaft,,,,,,,,,,,,,,,,,,,,,,,,
<BDWN/,Abdon,,,,,,,,,,,,,,,,,,,,,,,,
<BDWN=/,Abdon,,,,,,,,,,,,,,,,,,,,,,,,
<BD[,,"arbeiten, bearbeiten, dienen","bearbeitet, bebaut werden",,es wird gearbeitet mit,,"arbeiten lassen, dienen lassen",sich zu jemandes Kult bringen lassen,,,,,,,,,,"tun, handeln; machen",,,,,,"getan, gemacht werden",
<BD_>DWM/,Obed-Edom,,,,,,,,,,,,,,,,,,,,,,,,
<BD_MLK/,Ebed-Melech,,,,,,,,,,,,,,,,,,,,,,,,
<BD_NGW/,Abed-Nego,,,,,,,,,,,,,,,,,,,,,,,,
<BH[,,dick sein,,,,,,,,,,,,,,,,,,,,,,,
<BJ/,Dicke,,,,,,,,,,,,,,,,,,,,,,,,
<BJDH/,Arbeit; Verwaltung,,,,,,,,,,,,,,,,,,,,,,,,
<BR/,gegenüberliegende Seite; jenseits,,,,,,,,,,,,,,,,,,,,,,,,
<BR=/,Eber,,,,,,,,,,,,,,,,,,,,,,,,
<BR=[,,,,,,zürnen,,,,,,,,,,,,,,,,,,,
<BRH/,Furt,,,,,,,,,,,,,,,,,,,,,,,,
<BRH=/,Aufwallung; Wut,,,,,,,,,,,,,,,,,,,,,,,,
<BRJ/,Hebräer,,,,,,,,,,,,,,,,,,,,,,,,
<BRJ=/,Ibri,,,,,,,,,,,,,,,,,,,,,,,,
<BRJM/,Abarim,,,,,,,,,,,,,,,,,,,,,,,,
<BRN/,Abdon,,,,,,,,,,,,,,,,,,,,,,,,
<BRNH/,Abrona,,,,,,,,,,,,,,,,,,,,,,,,
<BR[,,"vorbeigehen, durchziehen, überschreiten; übertreten",überschritten werden,bespringen; überziehen?,,,"vorbeigehen, durchziehen lassen; darbringen; wegnehmen",,,,,,,,,,,,,,,,,,
<BT/,"Strick, Schnur",,,,,,,,,,,,,,,,,,,,,,,,
<BT[,,,,verdrehen?,,,,,,,,,,,,,,,,,,,,,
<BV=[,,,,verlassen,,,,,,,,,,,,,,,,,,,,,
<BVJV/,Pfandschuld,,,,,,,,,,,,,,,,,,,,,,,,
<BV[,,entlehnen; ein Pfand nehmen,,,,,gegen ein Pfand ausleihen,,,,,,,,,,,,,,,,,,
<BWR/,"wegen, um ... willen; damit",,,,,,,,,,,,,,,,,,,,,,,,
<BWR=/,Ertrag,,,,,,,,,,,,,,,,,,,,,,,,
<BWT/,ästig,,,,,,,,,,,,,,,,,,,,,,,,
<BWT=/,Ast,,,,,,,,,,,,,,,,,,,,,,,,
<BWV/,Pfand,,,,,,,,,,,,,,,,,,,,,,,,
<C/,Kleidermotte,,,,,,,,,,,,,,,,,,,,,,,,
<C=/,Eiter,,,,,,,,,,,,,,,,,,,,,,,,
<C==/,Löwin <Sternbild>,,,,,,,,,,,,,,,,,,,,,,,,
<CC[,,schwach werden?; sich zersetzen?,,,,,,,,,,,,,,,,,,,,,,,
<CJR/,reich,,,,,,,,,,,,,,,,,,,,,,,,
<CN/,Rauch,,,,,,,,,,,,,,,,,,,,,,,,
<CN=/,rauchend,,,,,,,,,,,,,,,,,,,,,,,,
<CN==/,Aschan,,,,,,,,,,,,,,,,,,,,,,,,
<CN[,,rauchen; zürnen,,,,,,,,,,,,,,,,,,,,,,,
<CQ/,"Bedrückung, Erpressung",,,,,,,,,,,,,,,,,,,,,,,,
<CQ=/,Eschek,,,,,,,,,,,,,,,,,,,,,,,,
<CQH/,"Bedrückung, Erpressung",,,,,,,,,,,,,,,,,,,,,,,,
<CQ[,,"bedrücken, Unrecht tun, erpressen",,,misshandelt werden,,,,,,,,,,,,,,,,,,,,
<CR/,Reichtum,,,,,,,,,,,,,,,,,,,,,,,,
<CR[,,"reich sein, werden",,,,sich reich stellen,reich machen; es zu Reichtum bringen,,,,,,,,,,,,,,,,,,
<CT/,Platte,,,,,,,,,,,,,,,,,,,,,,,,
<CT=[,,feist werden?,,,,,,,,,,,,,,,,,,,,,,,
<CTJ/,elf; elfter,,,,,,,,,,,,,,,,,,,,,,,,
<CTNT/,"Gedanke, Plan",,,,,,,,,,,,,,,,,,,,,,,,
<CTRT/,die Astarte,,,,,,,,,,,,,,,,,,,,,,,,
<CTRT=/,Zuwachs deines Viehs,,,,,,,,,,,,,,,,,,,,,,,,
<CTRT==/,Astarte,,,,,,,,,,,,,,,,,,,,,,,,
<CTRTJ/,Aschtarotiter,,,,,,,,,,,,,,,,,,,,,,,,
<CTRT_QRNJM/,Aschterot-Karnajim,,,,,,,,,,,,,,,,,,,,,,,,
<CTRWT/,Aschtarot,,,,,,,,,,,,,,,,,,,,,,,,
