lex,default,qal,nif,piel,pual,hit,hif,hof,hsht,pasq,etpa,nit,hotp,tif,htpa,poal,poel
<B/,"surga, langit, surga, surgawi",,,,,,,,,,,,,,,,
<B=/,"surga, langit, surga, surgawi",,,,,,,,,,,,,,,,
<B==/,"surga, langit, surga, surgawi",,,,,,,,,,,,,,,,
<BC[,layu,,,,,,,,,,,,,,,,
<BD/,"memperbudak, diperbudak, hamba, budak",,,,,,,,,,,,,,,,
<BD=/,bekerja,,,,,,,,,,,,,,,,
<BD==/,"memperbudak, diperbudak, hamba, budak",,,,,,,,,,,,,,,,
<BD>/,Abda,,,,,,,,,,,,,,,,
<BD>L/,Abdeel,,,,,,,,,,,,,,,,
<BDH/,"memperbudak, diperbudak, hamba, budak",,,,,,,,,,,,,,,,
<BDH=/,"memperbudak, diperbudak, hamba, budak",,,,,,,,,,,,,,,,
<BDJ/,Abdi,,,,,,,,,,,,,,,,
<BDJ>L/,Abdiel,,,,,,,,,,,,,,,,
<BDJH/,Obaja,,,,,,,,,,,,,,,,
<BDJHW/,"memperbudak, diperbudak, hamba, budak",,,,,,,,,,,,,,,,
<BDWN/,Abdon,,,,,,,,,,,,,,,,
<BDWN=/,Abdon,,,,,,,,,,,,,,,,
<BD[,"memperbudak, diperbudak, hamba, budak",melayani,digarap,,dikerjakan,,mempekerjakan,dipaksa melayani,,,,,,,,,
<BD_>DWM/,"Edom, orang Edom, Edomea",,,,,,,,,,,,,,,,
<BD_MLK/,Ebed-Melekh,,,,,,,,,,,,,,,,
<BD_NGW/,Abdeneg,,,,,,,,,,,,,,,,
<BH[,tebal,,,,,,,,,,,,,,,,
<BJ/,ketebalan,,,,,,,,,,,,,,,,
<BJDH/,"kerja, pekerjaan, pekerja",,,,,,,,,,,,,,,,
<BR/,"Sungai Efrat, Sungai",,,,,,,,,,,,,,,,
<BR=/,"Sungai Efrat, Sungai",,,,,,,,,,,,,,,,
<BR=[,"berkhotbah, diberitakan, berkhotbah, pengkhotbah",,,,,,,,,,,,,,,,
<BRH/,jembatan,,,,,,,,,,,,,,,,
<BRH=/,"murka, kemarahan",,,,,,,,,,,,,,,,
<BRJ/,Ibrani,,,,,,,,,,,,,,,,
<BRJ=/,Ibrani,,,,,,,,,,,,,,,,
<BRJM/,Abarim,,,,,,,,,,,,,,,,
<BRN/,Ebron,,,,,,,,,,,,,,,,
<BRNH/,Abronah,,,,,,,,,,,,,,,,
<BR[,"berkhotbah, diberitakan, berkhotbah, pengkhotbah",menyeberang,disebrangi,menghamili,,,menyeberangkan,,,,,,,,,,
<BT/,tali,,,,,,,,,,,,,,,,
<BV=[,"ikrar, diikrarkan",,,,,,,,,,,,,,,,
<BVJV/,"ikrar, diikrarkan",,,,,,,,,,,,,,,,
<BV[,"ikrar, diikrarkan",meminjam,,,,,memberikan pinjaman,,,,,,,,,,
<BWR/,karena,,,,,,,,,,,,,,,,
<BWR=/,"menanggung, tanggungan, pembawa",,,,,,,,,,,,,,,,
<BWT/,rimbun,,,,,,,,,,,,,,,,
<BWV/,"ikrar, diikrarkan",,,,,,,,,,,,,,,,
<C/,ngengat,,,,,,,,,,,,,,,,
<C=/,ngengat,,,,,,,,,,,,,,,,
<C==/,ngengat,,,,,,,,,,,,,,,,
<CC[,"limbah, terbuang, menyia-nyiakan, tanah pembuangan",,,,,,,,,,,,,,,,
<CJR/,kaya,,,,,,,,,,,,,,,,
<CN/,asap,,,,,,,,,,,,,,,,
<CN=/,berasap,,,,,,,,,,,,,,,,
<CN==/,asap,,,,,,,,,,,,,,,,
<CQ/,penindasan,,,,,,,,,,,,,,,,
<CQ=/,Esek,,,,,,,,,,,,,,,,
<CQH/,penindasan,,,,,,,,,,,,,,,,
<CQ[,menindas,menindas,,,ditindas,,,,,,,,,,,,
<CR/,kekayaan,,,,,,,,,,,,,,,,
<CR[,"sejahtera, makmur, menjadi makmur, kemakmuran",menjadi kaya,,,,menyombongkan kekayaan,memperkaya,,,,,,,,,,
<CT/,lempengan,,,,,,,,,,,,,,,,
<CTJ/,sebelas,,,,,,,,,,,,,,,,
<CTRT/,"Asyera, tiang berhala Asyera, Asytoret",,,,,,,,,,,,,,,,
<CTRT=/,anak,,,,,,,,,,,,,,,,
<CTRT==/,"Asyera, tiang berhala Asyera, Asytoret",,,,,,,,,,,,,,,,
<CTRTJ/,Asterati,,,,,,,,,,,,,,,,
<CTRT_QRNJM/,Asterot Karnayim,,,,,,,,,,,,,,,,
<CTRWT/,"Asyera, tiang berhala Asyera, Asytoret",,,,,,,,,,,,,,,,
<CTWT/,pikiran,,,,,,,,,,,,,,,,
<CWT=/,Asyuat,,,,,,,,,,,,,,,,
<D,sampai,,,,,,,,,,,,,,,,
<D/,sampai,,,,,,,,,,,,,,,,
<D<DH/,Adadah,,,,,,,,,,,,,,,,
<D=/,"kesaksian, bersaksi, saksi, saksi-saksi",,,,,,,,,,,,,,,,
<D==/,sampai,,,,,,,,,,,,,,,,
<DCH/,lentil,,,,,,,,,,,,,,,,
<DH/,"kesaksian, bersaksi, saksi, saksi-saksi",,,,,,,,,,,,,,,,
<DH=/,"kesaksian, bersaksi, saksi, saksi-saksi",,,,,,,,,,,,,,,,
<DH===/,Ada,,,,,,,,,,,,,,,,
<DH=[,,melangkah,,,,,menghilangkan,,,,,,,,,,
<DJ/,perhiasan,,,,,,,,,,,,,,,,
<DJ>L/,Adiel,,,,,,,,,,,,,,,,
<DJH/,Adaya,,,,,,,,,,,,,,,,
<DJN/,Adin,,,,,,,,,,,,,,,,
<DJN=/,Adin,,,,,,,,,,,,,,,,
<DJN>/,Adina,,,,,,,,,,,,,,,,
<DJTJM/,Aditaim,,,,,,,,,,,,,,,,
<DLJ/,Adlai,,,,,,,,,,,,,,,,
<DLM/,Adulam,,,,,,,,,,,,,,,,
<DLMJ/,Adullamit,,,,,,,,,,,,,,,,
<DN,masih,,,,,,,,,,,,,,,,
<DN/,"Eden, taman Eden",,,,,,,,,,,,,,,,
<DN=/,"Eden, taman Eden",,,,,,,,,,,,,,,,
<DN==/,"Eden, taman Eden",,,,,,,,,,,,,,,,
<DN===/,"Eden, taman Eden",,,,,,,,,,,,,,,,
<DN>/,Adna,,,,,,,,,,,,,,,,
<DNH,sampai,,,,,,,,,,,,,,,,
<DNH/,"kesenangan, kesukaan, gembira",,,,,,,,,,,,,,,,
<DNH=/,Adna,,,,,,,,,,,,,,,,
<DP[,sisa,tetap,,,,,menyisakan,,,,,,,,,,
<DR/,"kawanan, gembalaan",,,,,,,,,,,,,,,,
<DR=/,"kawanan, gembalaan",,,,,,,,,,,,,,,,
<DR==/,"kawanan, gembalaan",,,,,,,,,,,,,,,,
<DR===/,Eder,,,,,,,,,,,,,,,,
<DRJ>L/,Adriel,,,,,,,,,,,,,,,,
<DR[,,,kekurangan,meninggalkan kekurangan,,,,,,,,,,,,,
<DW/,Ido,,,,,,,,,,,,,,,,
<DWT/,"kesaksian, bersaksi, saksi, saksi-saksi",,,,,,,,,,,,,,,,
<FB/,"menanam, ditanam kembali, ditransplantasikan, menabur benih",,,,,,,,,,,,,,,,
<FH>L/,Asahel,,,,,,,,,,,,,,,,
<FH[,membuat,membuat,terbuat,menekan,diproduksi,,,,,,,,,,,,
<FJ>L/,Asiel,,,,,,,,,,,,,,,,
<FJH/,Asaya,,,,,,,,,,,,,,,,
<FJRJ/,kesepuluh,,,,,,,,,,,,,,,,
<FQ/,Esek,,,,,,,,,,,,,,,,
<FR/,"hari, hari-hari",,,,,,,,,,,,,,,,
<FR=/,"Sepuluh Hukum, Dasa Titah",,,,,,,,,,,,,,,,
<FRH/,"hari, hari-hari",,,,,,,,,,,,,,,,
<FRH=/,"Sepuluh Hukum, Dasa Titah",,,,,,,,,,,,,,,,
<FRJM/,"kambing, anak kambing, kambing hitam",,,,,,,,,,,,,,,,
<FRJN/,dua puluh,,,,,,,,,,,,,,,,
<FRWN/,sepersepuluh,,,,,,,,,,,,,,,,
<FR[,"sepersepuluh, persepuluhan, berzakat, perpuluhan",mengambil persepuluhan,,memberikan persepuluhan,,,memberikan persepuluhan,,,,,,,,,,
<FW/,Esau,,,,,,,,,,,,,,,,
<FWR/,"hari, hari-hari",,,,,,,,,,,,,,,,
<GBH/,nafsu,,,,,,,,,,,,,,,,
<GH/,Roti,,,,,,,,,,,,,,,,
<GJL/,gelang,,,,,,,,,,,,,,,,
<GL/,"sapi, lembu, banteng, anak lembu",,,,,,,,,,,,,,,,
<GL=/,bundar,,,,,,,,,,,,,,,,
<GLH/,"sapi, lembu, banteng, anak lembu",,,,,,,,,,,,,,,,
<GLH=/,kereta,,,,,,,,,,,,,,,,
<GLH==/,"sapi, lembu, banteng, anak lembu",,,,,,,,,,,,,,,,
<GLWN/,Eglon,,,,,,,,,,,,,,,,
<GLWN=/,Eglon,,,,,,,,,,,,,,,,
<GM[,sedih,,,,,,,,,,,,,,,,
<GN[,tunda,,,,,,,,,,,,,,,,
<GWR/,bangau,,,,,,,,,,,,,,,,
<J/,reruntuhan,,,,,,,,,,,,,,,,
<J=/,Ai,,,,,,,,,,,,,,,,
<JBL/,Ebal,,,,,,,,,,,,,,,,
<JBL=/,Ebal,,,,,,,,,,,,,,,,
<JC/,"beruang, beruang-beruang",,,,,,,,,,,,,,,,
<JJM/,Iyim,,,,,,,,,,,,,,,,
<JJ_H<BRJM/,Iye-Abarim,,,,,,,,,,,,,,,,
<JLJ/,Ilai,,,,,,,,,,,,,,,,
<JLM/,"Elam, orang-orang Elam",,,,,,,,,,,,,,,,
<JLWM/,selamanya,,,,,,,,,,,,,,,,
<JN/,"sumber air, mata air",,,,,,,,,,,,,,,,
<JN=/,"sumber air, mata air",,,,,,,,,,,,,,,,
<JNJM/,Enaim,,,,,,,,,,,,,,,,
<JNM/,Enaim,,,,,,,,,,,,,,,,
<JNN/,Enan,,,,,,,,,,,,,,,,
<JN_<GLJM/,En-eglaim,,,,,,,,,,,,,,,,
<JN_CMC/,En-shemesh,,,,,,,,,,,,,,,,
<JN_DWR/,En-dor,,,,,,,,,,,,,,,,
<JN_GDJ/,En Gedi,,,,,,,,,,,,,,,,
<JN_GNJM/,En-ganim,,,,,,,,,,,,,,,,
