lex,default,qal,nif,piel,pual,hit,hif,hof,hsht,pasq,etpa,nit,hotp,tif,htpa,poal,poel,peal,peil,pael,haf,afel,shaf,htpe,etpe
<B/,"nuvem, nuvem-massa",,,,,,,,,,,,,,,,,,,,,,,,
<B=/,(arquitetônico),,,,,,,,,,,,,,,,,,,,,,,,
<B==/,espessura,,,,,,,,,,,,,,,,,,,,,,,,
<BC[,,murchar,,,,,,,,,,,,,,,,,,,,,,,
<BD/,"escravo, servo",,,,,,,,,,,,,,,,,,,,,,,,
<BD=/,trabalho,,,,,,,,,,,,,,,,,,,,,,,,
<BD==/,Ebed,,,,,,,,,,,,,,,,,,,,,,,,
<BD>/,Abda,,,,,,,,,,,,,,,,,,,,,,,,
<BD>L/,Abdeel,,,,,,,,,,,,,,,,,,,,,,,,
<BDH/,"trabalho, serviço",,,,,,,,,,,,,,,,,,,,,,,,
<BDH=/,escravos (coletivos),,,,,,,,,,,,,,,,,,,,,,,,
<BDJ/,Abdi,,,,,,,,,,,,,,,,,,,,,,,,
<BDJ>L/,Abdiel,,,,,,,,,,,,,,,,,,,,,,,,
<BDJH/,Obadiah,,,,,,,,,,,,,,,,,,,,,,,,
<BDJHW/,Obadiah,,,,,,,,,,,,,,,,,,,,,,,,
<BDT/,servidão,,,,,,,,,,,,,,,,,,,,,,,,
<BDWN/,Abdon,,,,,,,,,,,,,,,,,,,,,,,,
<BDWN=/,Abdon,,,,,,,,,,,,,,,,,,,,,,,,
<BD[,,servir,ser cultivado,,é trabalhado com,,"deixar trabalhar, servir",ser levado a servir,,,,,,,,,,,,,,,,,
<BD_>DWM/,Obed-Edom,,,,,,,,,,,,,,,,,,,,,,,,
<BD_MLK/,Ebed-Melech,,,,,,,,,,,,,,,,,,,,,,,,
<BD_NGW/,Abednego,,,,,,,,,,,,,,,,,,,,,,,,
<BH[,,ser grosso,,,,,,,,,,,,,,,,,,,,,,,
<BJ/,espessura,,,,,,,,,,,,,,,,,,,,,,,,
<BR/,"lado, região; lado oposto; além",,,,,,,,,,,,,,,,,,,,,,,,
<BR=/,Eber,,,,,,,,,,,,,,,,,,,,,,,,
<BR=[,,,,,,ficar furioso,,,,,,,,,,,,,,,,,,,
<BRH/,ford,,,,,,,,,,,,,,,,,,,,,,,,
<BRH=/,arrogância,,,,,,,,,,,,,,,,,,,,,,,,
<BRJ/,Hebraico,,,,,,,,,,,,,,,,,,,,,,,,
<BRJ=/,Ibri,,,,,,,,,,,,,,,,,,,,,,,,
<BRJM/,Abarim,,,,,,,,,,,,,,,,,,,,,,,,
<BRN/,Abdon,,,,,,,,,,,,,,,,,,,,,,,,
<BRNH/,Abronah,,,,,,,,,,,,,,,,,,,,,,,,
<BR[,,"atravessar, transgredir",ser atravessado,impregnar; fazer atravessar,,,"fazer passar, deixar passar; sacrificar; remover",,,,,,,,,,,,,,,,,,
<BT/,"corda, cordão",,,,,,,,,,,,,,,,,,,,,,,,
<BT[,,,,perverter?,,,,,,,,,,,,,,,,,,,,,
<BV=[,,,,abandonar,,,,,,,,,,,,,,,,,,,,,
<BVJV/,dívida,,,,,,,,,,,,,,,,,,,,,,,,
<BV[,,emprestar; fazer uma promessa,,,,,emprestar em penhor,,,,,,,,,,,,,,,,,,
<BWR/,"por causa de, por; a fim de que",,,,,,,,,,,,,,,,,,,,,,,,
<BWR=/,produzir,,,,,,,,,,,,,,,,,,,,,,,,
<BWT/,branchy,,,,,,,,,,,,,,,,,,,,,,,,
<BWT=/,filial,,,,,,,,,,,,,,,,,,,,,,,,
<BWV/,penhor,,,,,,,,,,,,,,,,,,,,,,,,
<C/,traça,,,,,,,,,,,,,,,,,,,,,,,,
<C=/,pus,,,,,,,,,,,,,,,,,,,,,,,,
<C==/,leoa (constelação),,,,,,,,,,,,,,,,,,,,,,,,
<CC[,,tornar-se fraco?; desperdiçar?,,,,,,,,,,,,,,,,,,,,,,,
<CJR/,"rico, rico",,,,,,,,,,,,,,,,,,,,,,,,
<CN/,fumo,,,,,,,,,,,,,,,,,,,,,,,,
<CN=/,fumando,,,,,,,,,,,,,,,,,,,,,,,,
<CN==/,Ashan,,,,,,,,,,,,,,,,,,,,,,,,
<CN[,,fumar; estar irado,,,,,,,,,,,,,,,,,,,,,,,
<CQ/,"opressão, extorsão",,,,,,,,,,,,,,,,,,,,,,,,
<CQ=/,Eshek,,,,,,,,,,,,,,,,,,,,,,,,
<CQH/,"opressão, extorsão",,,,,,,,,,,,,,,,,,,,,,,,
<CQ[,,"oprimir, injuriar, extorquir",,,ser injustiçado,,,,,,,,,,,,,,,,,,,,
<CR/,riqueza,,,,,,,,,,,,,,,,,,,,,,,,
<CR[,,"ser rico, ficar rico",,,,fingir ser rico,tornar alguém rico,,,,,,,,,,,,,,,,,,
<CT/,placa,,,,,,,,,,,,,,,,,,,,,,,,
<CT=[,,ser brilhante?,,,,,,,,,,,,,,,,,,,,,,,
<CTJ/,onze; décimo primeiro,,,,,,,,,,,,,,,,,,,,,,,,
<CTNT/,pensamento,,,,,,,,,,,,,,,,,,,,,,,,
<CTRT/,o Ashtoreth,,,,,,,,,,,,,,,,,,,,,,,,
<CTRT=/,ovelhas de seu rebanho,,,,,,,,,,,,,,,,,,,,,,,,
<CTRT==/,Ashtoreth,,,,,,,,,,,,,,,,,,,,,,,,
<CTRTJ/,Ashterathite,,,,,,,,,,,,,,,,,,,,,,,,
<CTRT_QRNJM/,Ashteroth Karnaim,,,,,,,,,,,,,,,,,,,,,,,,
<CTRWT/,Ashtaroth,,,,,,,,,,,,,,,,,,,,,,,,
<CTWT/,pensamento,,,,,,,,,,,,,,,,,,,,,,,,
<CT[,,,,,,pensar,,,,,,,,,,,,,,,,,,,
<CWQ/,opressor,,,,,,,,,,,,,,,,,,,,,,,,
<CWQJM/,opressão,,,,,,,,,,,,,,,,,,,,,,,,
<CWT/,forjado,,,,,,,,,,,,,,,,,,,,,,,,
<CWT=/,Ashvath,,,,,,,,,,,,,,,,,,,,,,,,
<D,"para (prep), até (espacial); até, enquanto (temporal); durante",,,,,,,,,,,,,,,,,,,,,,,,
<D/,"futuro; eternidade, sempre",,,,,,,,,,,,,,,,,,,,,,,,
<D<DH/,Adadah,,,,,,,,,,,,,,,,,,,,,,,,
<D=/,testemunha; testemunho,,,,,,,,,,,,,,,,,,,,,,,,
<D==/,presa,,,,,,,,,,,,,,,,,,,,,,,,
<DCH/,lentilha,,,,,,,,,,,,,,,,,,,,,,,,
<DD/,Oded,,,,,,,,,,,,,,,,,,,,,,,,
<DH/,"reunião, congregação",,,,,,,,,,,,,,,,,,,,,,,,
<DH=/,testemunha; testemunho,,,,,,,,,,,,,,,,,,,,,,,,
<DH==/,menstruação,,,,,,,,,,,,,,,,,,,,,,,,
<DH===/,Adah,,,,,,,,,,,,,,,,,,,,,,,,
<DH=[,,andar a passos largos,,,,,remover,,,,,,,,,,,,,,,,,,
<DH[,,adornar-se com; adornar com,,,,,,,,,,,,,,,,,,,,,,,
<DJ/,ornamentos,,,,,,,,,,,,,,,,,,,,,,,,
<DJ>L/,Adiel,,,,,,,,,,,,,,,,,,,,,,,,
<DJH/,Adaiah,,,,,,,,,,,,,,,,,,,,,,,,
<DJHW/,Adaiah,,,,,,,,,,,,,,,,,,,,,,,,
<DJN/,voluptuoso,,,,,,,,,,,,,,,,,,,,,,,,
<DJN=/,Adin,,,,,,,,,,,,,,,,,,,,,,,,
<DJN>/,Adina,,,,,,,,,,,,,,,,,,,,,,,,
<DJNW/,Adino,,,,,,,,,,,,,,,,,,,,,,,,
<DJTJM/,Adithaim,,,,,,,,,,,,,,,,,,,,,,,,
<DLJ/,Adlai,,,,,,,,,,,,,,,,,,,,,,,,
<DLM/,Adullam,,,,,,,,,,,,,,,,,,,,,,,,
<DLMJ/,Adullamite,,,,,,,,,,,,,,,,,,,,,,,,
<DN,até o momento; ainda,,,,,,,,,,,,,,,,,,,,,,,,
<DN/,delícia; elegância,,,,,,,,,,,,,,,,,,,,,,,,
<DN=/,Eden,,,,,,,,,,,,,,,,,,,,,,,,
<DN==/,Eden,,,,,,,,,,,,,,,,,,,,,,,,
<DN===/,Eden,,,,,,,,,,,,,,,,,,,,,,,,
<DN>/,Adna,,,,,,,,,,,,,,,,,,,,,,,,
<DNH,até o momento; ainda,,,,,,,,,,,,,,,,,,,,,,,,
<DNH/,"luxúria, deleite sexual",,,,,,,,,,,,,,,,,,,,,,,,
<DNH=/,Adnah,,,,,,,,,,,,,,,,,,,,,,,,
<DNX/,Adnah,,,,,,,,,,,,,,,,,,,,,,,,
<DN[,,,,,,deleitar-se,,,,,,,,,,,,,,,,,,,
<DP[,,permanecer,,,,,ter um excedente,,,,,,,,,,,,,,,,,,
<DR/,"rebanho, rebanho",,,,,,,,,,,,,,,,,,,,,,,,
<DR=/,Eder,,,,,,,,,,,,,,,,,,,,,,,,
<DR==/,Eder,,,,,,,,,,,,,,,,,,,,,,,,
<DR===/,Eder,,,,,,,,,,,,,,,,,,,,,,,,
<DR==[,,reunir-se,,,,,,,,,,,,,,,,,,,,,,,
<DR=[,,,ser capinado,,,,,,,,,,,,,,,,,,,,,,
<DRJ>L/,Adriel,,,,,,,,,,,,,,,,,,,,,,,,
<DR[,,,estar faltando,deixar faltando,,,,,,,,,,,,,,,,,,,,,
<DW/,Iddo,,,,,,,,,,,,,,,,,,,,,,,,
<DW>/,Iddo,,,,,,,,,,,,,,,,,,,,,,,,
<DWT/,"sinal de aviso, lembrete; percepção, mandamento",,,,,,,,,,,,,,,,,,,,,,,,
<FB/,"plantas verdes, ervas (coletivas)",,,,,,,,,,,,,,,,,,,,,,,,
<FH>L/,Asahel,,,,,,,,,,,,,,,,,,,,,,,,
<FH[,,"fazer, criar","ser criado, ser feito",apertar,ser feito,,,,,,,,,,,,,,,,,,,,
<FJ>L/,Asiel,,,,,,,,,,,,,,,,,,,,,,,,
<FJH/,Asaiah,,,,,,,,,,,,,,,,,,,,,,,,
<FJRJ/,décimo (ord); um décimo (fract),,,,,,,,,,,,,,,,,,,,,,,,
<FQ/,Esek,,,,,,,,,,,,,,,,,,,,,,,,
<FQ[,,,,,,enfrentar,,,,,,,,,,,,,,,,,,,
<FR/,dez,,,,,,,,,,,,,,,,,,,,,,,,
<FR=/,dez; grupo de dez,,,,,,,,,,,,,,,,,,,,,,,,
<FRH/,dez,,,,,,,,,,,,,,,,,,,,,,,,
<FRH=/,"(grupo de) dez, década",,,,,,,,,,,,,,,,,,,,,,,,
<FRJM/,vinte; vigésimo,,,,,,,,,,,,,,,,,,,,,,,,
<FRWN/,décima parte,,,,,,,,,,,,,,,,,,,,,,,,
<FR[,,"tomar o décimo de, dar o dízimo",,"receber, dar um décimo de",,,"receber, dar um décimo",,,,,,,,,,,,,,,,,,
<FW/,Esaú,,,,,,,,,,,,,,,,,,,,,,,,
<FWR/,(grupo de) dez,,,,,,,,,,,,,,,,,,,,,,,,
<GBH/,luxúria,,,,,,,,,,,,,,,,,,,,,,,,
<GBJM/,luxúria,,,,,,,,,,,,,,,,,,,,,,,,
<GB[,,ter luxúria,,,,,,,,,,,,,,,,,,,,,,,
