lex,default,qal,nif,piel,pual,hit,hif,hof,hsht,pasq,etpa,nit,hotp,tif,htpa,poal,poel,peal,peil,pael,haf,afel,shaf,htpe,etpe
<B/,"nube, nube-masa",,,,,,,,,,,,,,,,,,,,,,,,
<B=/,(arquitetônica),,,,,,,,,,,,,,,,,,,,,,,,
<B==/,matagal,,,,,,,,,,,,,,,,,,,,,,,,
<BC[,,marchitarse,,,,,,,,,,,,,,,,,,,,,,,
<BD/,"esclavo, siervo",,,,,,,,,,,,,,,,,,,,,,,,
<BD=/,trabalhos,,,,,,,,,,,,,,,,,,,,,,,,
<BD==/,Ebed,,,,,,,,,,,,,,,,,,,,,,,,
<BD>/,Abda,,,,,,,,,,,,,,,,,,,,,,,,
<BD>L/,Abdeel,,,,,,,,,,,,,,,,,,,,,,,,
<BDH/,"trabajo, servicio",,,,,,,,,,,,,,,,,,,,,,,,
<BDH=/,escravos (coletivo),,,,,,,,,,,,,,,,,,,,,,,,
<BDJ/,Abdi,,,,,,,,,,,,,,,,,,,,,,,,
<BDJ>L/,Abdiel,,,,,,,,,,,,,,,,,,,,,,,,
<BDJH/,"Abdias, Abdías",,,,,,,,,,,,,,,,,,,,,,,,
<BDJHW/,Obadias,,,,,,,,,,,,,,,,,,,,,,,,
<BDT/,servidão,,,,,,,,,,,,,,,,,,,,,,,,
<BDWN/,Abdon,,,,,,,,,,,,,,,,,,,,,,,,
<BDWN=/,Abdon,,,,,,,,,,,,,,,,,,,,,,,,
<BD[,,"servir, trabajar, laborar",ser cultivado,,ser trabajado con,,"dejar trabajar, servir",ser llevado a servir,,,,,,,,,,,,,,,,,
<BD_>DWM/,Obed-edom,,,,,,,,,,,,,,,,,,,,,,,,
<BD_MLK/,Ebede-Meleque,,,,,,,,,,,,,,,,,,,,,,,,
<BD_NGW/,Abednego,,,,,,,,,,,,,,,,,,,,,,,,
<BH[,,ser grueso,,,,,,,,,,,,,,,,,,,,,,,
<BJ/,grossura,,,,,,,,,,,,,,,,,,,,,,,,
<BJDH/,,,,,,,,,,,,,,,,,,,,,,,,,
<BR/,"lado, región; lado opuesto; más allá",,,,,,,,,,,,,,,,,,,,,,,,
<BR=/,Heber,,,,,,,,,,,,,,,,,,,,,,,,
<BR=[,,,,,,ponerse furioso,,,,,,,,,,,,,,,,,,,
<BRH/,vau,,,,,,,,,,,,,,,,,,,,,,,,
<BRH=/,arrogancia,,,,,,,,,,,,,,,,,,,,,,,,
<BRJ/,Hebreo,,,,,,,,,,,,,,,,,,,,,,,,
<BRJ=/,Ibri,,,,,,,,,,,,,,,,,,,,,,,,
<BRJM/,Abarim,,,,,,,,,,,,,,,,,,,,,,,,
<BRN/,Abdon,,,,,,,,,,,,,,,,,,,,,,,,
<BRNH/,Abrona,,,,,,,,,,,,,,,,,,,,,,,,
<BR[,,"pasar por encimar, transgredir, cruzar, arrastrar, mover a través de",ser cruzado,impregnar; hacer pasar?,,,causar pasar; dejar pasar; sacrificar; remover,,,,,,,,,,,,,,,,,,
<BT/,"cuerda, soga, cordón",,,,,,,,,,,,,,,,,,,,,,,,
<BT[,,,,pervertir?,,,,,,,,,,,,,,,,,,,,,
<BV=[,,,,abandonar,,,,,,,,,,,,,,,,,,,,,
<BVJV/,dívida,,,,,,,,,,,,,,,,,,,,,,,,
<BV[,,pedir prestado; hacer una promesa,,,,,prestar con prenda,,,,,,,,,,,,,,,,,,
<BWR/,"por cuenta de, por el bien de; para que",,,,,,,,,,,,,,,,,,,,,,,,
<BWR=/,produzir,,,,,,,,,,,,,,,,,,,,,,,,
<BWT/,ramificado,,,,,,,,,,,,,,,,,,,,,,,,
<BWT=/,ramo,,,,,,,,,,,,,,,,,,,,,,,,
<BWV/,juramento,,,,,,,,,,,,,,,,,,,,,,,,
<C/,mariposa,,,,,,,,,,,,,,,,,,,,,,,,
<C=/,pus,,,,,,,,,,,,,,,,,,,,,,,,
<C==/,leoa (constelação),,,,,,,,,,,,,,,,,,,,,,,,
<CC[,,volverse débil?; para desperdiciar?,,,,,,,,,,,,,,,,,,,,,,,
<CJR/,rico,,,,,,,,,,,,,,,,,,,,,,,,
<CN/,humo,,,,,,,,,,,,,,,,,,,,,,,,
<CN=/,fumar,,,,,,,,,,,,,,,,,,,,,,,,
<CN==/,Ashan,,,,,,,,,,,,,,,,,,,,,,,,
<CN[,,fumar; estar enojado,,,,,,,,,,,,,,,,,,,,,,,
<CQ/,"opresión, extorsión",,,,,,,,,,,,,,,,,,,,,,,,
<CQ=/,Eshek,,,,,,,,,,,,,,,,,,,,,,,,
<CQH/,"opressão, extorsão",,,,,,,,,,,,,,,,,,,,,,,,
<CQ[,,"oprimir, equivocar, extorsionar",,,ser agraviado,,,,,,,,,,,,,,,,,,,,
<CR/,riquezas,,,,,,,,,,,,,,,,,,,,,,,,
<CR[,,"ser rico, hacerse rico",,,,pretender ser rico,hacer rico a alguien,,,,,,,,,,,,,,,,,,
<CT/,placa,,,,,,,,,,,,,,,,,,,,,,,,
<CT=[,,ser brillante?,,,,,,,,,,,,,,,,,,,,,,,
<CTJ/,once; undécimo,,,,,,,,,,,,,,,,,,,,,,,,
<CTNT/,pensamento,,,,,,,,,,,,,,,,,,,,,,,,
<CTRT/,o Astarote,,,,,,,,,,,,,,,,,,,,,,,,
<CTRT=/,ovelhas do seu rebanho,,,,,,,,,,,,,,,,,,,,,,,,
<CTRT==/,Astorete,,,,,,,,,,,,,,,,,,,,,,,,
<CTRTJ/,Ashteratita,,,,,,,,,,,,,,,,,,,,,,,,
<CTRT_QRNJM/,Ashteroth Karnaim,,,,,,,,,,,,,,,,,,,,,,,,
<CTRWT/,Astarote,,,,,,,,,,,,,,,,,,,,,,,,
<CTWT/,pensamento,,,,,,,,,,,,,,,,,,,,,,,,
<CT[,,,,,,pensar,,,,,,,,,,,,,,,,,,,
<CWQ/,opressor,,,,,,,,,,,,,,,,,,,,,,,,
<CWQJM/,opressão,,,,,,,,,,,,,,,,,,,,,,,,
<CWT/,forjado,,,,,,,,,,,,,,,,,,,,,,,,
<CWT=/,Ashvath,,,,,,,,,,,,,,,,,,,,,,,,
<D,"a, hacia (prep), hasta, en cuanto as (espacio); hasta que, mientras, mientras que (tiempo)",,,,,,,,,,,,,,,,,,,,,,,,
<D/,"futuro; eternidad, siempre",,,,,,,,,,,,,,,,,,,,,,,,
<D<DH/,Adada,,,,,,,,,,,,,,,,,,,,,,,,
<D=/,testigo; testimonio,,,,,,,,,,,,,,,,,,,,,,,,
<D==/,presa,,,,,,,,,,,,,,,,,,,,,,,,
<DCH/,lentilha,,,,,,,,,,,,,,,,,,,,,,,,
<DD/,Oded,,,,,,,,,,,,,,,,,,,,,,,,
<DH/,"reunión, congregación",,,,,,,,,,,,,,,,,,,,,,,,
<DH=/,testemunha; testemunho,,,,,,,,,,,,,,,,,,,,,,,,
<DH==/,menstruação,,,,,,,,,,,,,,,,,,,,,,,,
<DH===/,Ada,,,,,,,,,,,,,,,,,,,,,,,,
<DH=[,,a grandes zancadas,,,,,para eliminar,,,,,,,,,,,,,,,,,,
<DH[,,adornarse con; adornar con,,,,,,,,,,,,,,,,,,,,,,,
<DJ/,ornamentos,,,,,,,,,,,,,,,,,,,,,,,,
<DJ>L/,Adiel,,,,,,,,,,,,,,,,,,,,,,,,
<DJH/,Adaías,,,,,,,,,,,,,,,,,,,,,,,,
<DJHW/,Adaías,,,,,,,,,,,,,,,,,,,,,,,,
<DJN/,voluptuoso,,,,,,,,,,,,,,,,,,,,,,,,
<DJN=/,Adin,,,,,,,,,,,,,,,,,,,,,,,,
<DJN>/,Adina,,,,,,,,,,,,,,,,,,,,,,,,
<DJNW/,Adino,,,,,,,,,,,,,,,,,,,,,,,,
<DJTJM/,Adithaim,,,,,,,,,,,,,,,,,,,,,,,,
<DLJ/,Adlai,,,,,,,,,,,,,,,,,,,,,,,,
<DLM/,Adulão,,,,,,,,,,,,,,,,,,,,,,,,
