lex,default,qal,nif,piel,pual,hit,hif,hof,hsht,pasq,etpa,nit,hotp,tif,htpa,poal,poel,peal,peil,pael,haf,afel,shaf,htpe,etpe
<B/,"wing, wingun, giza, nene, mbinguni",,,,,,,,,,,,,,,,,,,,,,,,
<B=/,"zingit, lang, zingitin, boriti, bawab",,,,,,,,,,,,,,,,,,,,,,,,
<B==/,"wing, wingun, giza, nene, mbinguni",,,,,,,,,,,,,,,,,,,,,,,,
<BC[,,"hawajulikani, mabohari",,,,,,,,,,,,,,,,,,,,,,,
<BD/,"watumishi, mtumishi, tumiki, mtumwa, utumishi",,,,,,,,,,,,,,,,,,,,,,,,
<BD=/,"kazi, matendo, tend, fany, enda",,,,,,,,,,,,,,,,,,,,,,,,
<BD==/,"ebedi, ufitini",,,,,,,,,,,,,,,,,,,,,,,,
<BD>/,"abda, anzish",,,,,,,,,,,,,,,,,,,,,,,,
<BD>L/,abdeeli,,,,,,,,,,,,,,,,,,,,,,,,
<BDH/,"watumishi, mtumishi, tumiki, mtumwa, utumishi",,,,,,,,,,,,,,,,,,,,,,,,
<BDH=/,"watumishi, mtumishi, tumiki, mtumwa, utumishi",,,,,,,,,,,,,,,,,,,,,,,,
<BDJ/,abdi,,,,,,,,,,,,,,,,,,,,,,,,
<BDJ>L/,abdieli,,,,,,,,,,,,,,,,,,,,,,,,
<BDJH/,obadia,,,,,,,,,,,,,,,,,,,,,,,,
<BDJHW/,obadia,,,,,,,,,,,,,,,,,,,,,,,,
<BDT/,"mtumwa, watumwa, tumiki, watumishi, utumwa",,,,,,,,,,,,,,,,,,,,,,,,
<BDWN/,abdoni,,,,,,,,,,,,,,,,,,,,,,,,
<BDWN=/,abdoni,,,,,,,,,,,,,,,,,,,,,,,,
<BD[,,"watumishi, mtumishi, tumiki, mtumwa, utumishi","watumishi, mtumishi, tumiki, mtumwa, utumishi",,"watumishi, mtumishi, tumiki, mtumwa, utumishi",,"watumishi, mtumishi, tumiki, mtumwa, utumishi","watumishi, mtumishi, tumiki, mtumwa, utumishi",,,,,,,,,,"fany, tend, fanyi, akafanya, kufanya",,,,,,"fany, tend, fanyi, akafanya, kufanya",
<BD_>DWM/,obed-edomu,,,,,,,,,,,,,,,,,,,,,,,,
<BD_MLK/,ebedmeleki,,,,,,,,,,,,,,,,,,,,,,,,
<BD_NGW/,abednego,,,,,,,,,,,,,,,,,,,,,,,,
<BH[,,"kinene, wakaelewa, zit",,,,,,,,,,,,,,,,,,,,,,,
<BJ/,"unen, visub, mafundo, kiwi",,,,,,,,,,,,,,,,,,,,,,,,
<BJDH/,"tumiki, kuhan, hudumi, hudum, ibad",,,,,,,,,,,,,,,,,,,,,,,,
<BR/,"ng'ambo, upande, pit, pande, kuwak",,,,,,,,,,,,,,,,,,,,,,,,
<BR=/,eberi,,,,,,,,,,,,,,,,,,,,,,,,
<BR=[,,,,,,"pit, vuk, pita, piti, endele, usio, umemghadhibikia, amkasirishaye, akamkataa, akaughadhibikia",,,,,,,,,,,,,,,,,,,
<BRH/,"vuk, pigo, vivukoni, mwefraimu, mpit",,,,,,,,,,,,,,,,,,,,,,,,
<BRH=/,"ghadhabu, hasira, yolinga, mbishi, ameziangusha",,,,,,,,,,,,,,,,,,,,,,,,
<BRJ/,"waebrania, mwebrania, kiebrania",,,,,,,,,,,,,,,,,,,,,,,,
<BRJ=/,ibri,,,,,,,,,,,,,,,,,,,,,,,,
<BRJM/,"abarimu, ukalie, upalize",,,,,,,,,,,,,,,,,,,,,,,,
<BRN/,ebroni,,,,,,,,,,,,,,,,,,,,,,,,
<BRNH/,abrona,,,,,,,,,,,,,,,,,,,,,,,,
<BR[,,"pit, vuk, pita, piti, endele, usio, umemghadhibikia, amkasirishaye, akamkataa, akaughadhibikia","pit, vuk, pita, piti, endele, usio, umemghadhibikia, amkasirishaye, akamkataa, akaughadhibikia","pit, vuk, pita, piti, endele, usio, umemghadhibikia, amkasirishaye, akamkataa, akaughadhibikia",,,"pit, vuk, pita, piti, endele, usio, umemghadhibikia, amkasirishaye, akamkataa, akaughadhibikia",,,,,,,,,,,,,,,,,,
<BT/,"kamb, mikufu, and, fung, pwan",,,,,,,,,,,,,,,,,,,,,,,,
<BT[,,,,"sokot, taraza, fuma, fum, fumw",,,,,,,,,,,,,,,,,,,,,
<BV=[,,,,"kopesh, kopesha, kop, la, mda",,,,,,,,,,,,,,,,,,,,,
<BVJV/,"deni, ampe, ajitwikaye, wapeni, ponisih",,,,,,,,,,,,,,,,,,,,,,,,
<BV[,,"kopesh, kopesha, kop, la, mda",,,,,"kopesh, kopesha, kop, la, mda",,,,,,,,,,,,,,,,,,
<BWR/,"maana, kuwa, sababu, kwamba, kwan",,,,,,,,,,,,,,,,,,,,,,,,
<BWR=/,"mavuno, maza, matunda, akib, faid",,,,,,,,,,,,,,,,,,,,,,,,
<BWT/,"jan, jani, taw, minene, vifukizi",,,,,,,,,,,,,,,,,,,,,,,,
