chapter	strong_sequence
11	,,H5329
14	,,H5329
15	H4210,,H1732
16	H4387,,H1732
17	H8605,,H1732
23	H4210,,H1732
24	,H1732
25	,H1732
26	,H1732
27	,H1732
28	,H1732
29	H4210,,H1732
32	,H1732
35	,H1732
37	,H1732
50	H4210,,H0623
66	,,H5329
72	,H8010
73	H4210,,H0623
74	H4905,,H0623
78	H4905,,H0623
79	H4210,,H0623
82	H4210,,H0623
86	H8605,,H1732
87	,H1121,H7141
98	H4210
100	H4210,,H8426
101	,H1732
103	,H1732
109	,,H5329
110	,H1732
120	H7892,,H4609
121	H7892,,,H4609
122	H7892,,H4609
123	H7892,,H4609
124	H7892,,H4609
125	H7892,,H4609
126	H7892,,H4609
127	H7892,,H4609
128	H7892,,H4609
129	H7892,,H4609
130	H7892,,H4609
131	H7892,,H4609
132	H7892,,H4609
133	H7892,,H4609
134	H7892,,H4609
138	,H1732
139	,,H5329
141	H4210,,H1732
143	H4210,,H1732
144	,H1732
145	H8416,,H1732
