uhb_strong,bhsa_strong,count
H2428,H2426,10
H1121,H4480,7
H6440,H4480,7
H3878,H3881,6
H2088,H4480,5
H3068,H4480,5
H3808,H4480,5
H0251,H4480,5
H3027,H4480,4
H0776,H4480,4
H5921,H4480,4
H6310,H4480,4
H5800,H5805,4
H7457,H7456,4
H2425,H2416,3
H5971,H4480,3
H0113,H0136,3
H3605,H4480,3
H1004,H4480,3
H7489,H7451,3
H0430,H4480,3
H0730,H0729,3
H4392,H4390,3
H0535,H0536,3
H1932,H0607,3
H3274,H3266,2
H3588,H4480,2
H0215,H0216,2
H0905,H0910,2
H6823,H4480,2
H0175,H4480,2
H0259,H0376,2
H7117,H7118,2
H0259,H4480,2
H0853,H4480,2
H8217,H4480,2
H2351,H4480,2
H0376,H4480,2
H2233,H4480,2
H0834,H4480,2
H3571,H3569,2
H0575,H0579,2
H3201,H3605,2
H5414,H4480,2
H7564,H3423,2
H3423,H7564,2
H8033,H4480,2
H7875,H7874,2
H3045,H1847,2
H0310,H4480,2
H1697,H4480,2
H2030,H2029,2
H2565,H2563,2
H1323,H4480,2
H5973,H4480,2
H0559,H4480,2
H3384,H3372,2
H3774,H3746,2
H5794,H4480,2
H2708,H4480,2
H4984,H5375,2
H6666,H4480,2
H2029,H2030,2
H7654,H7646,2
H2416,H4480,2
H5892,H4480,2
H5439,H4480,2
H7451,H4480,2
H2874,H2875,2
H4685,H4686,2
H1818,H4480,2
H1870,H4480,2
H3463,H3462,2
H0341,H4480,2
H5704,H5703,2
H4194,H4480,2
H7649,H7646,2
H6098,H4480,2
H5704,H4480,2
H0413,H0408,2
H6035,H6041,2
H5029,H5013,2
H5977,H5975,2
H6944,H6942,2
H3187,H3188,2
H6086,H4480,1
H0802,H4480,1
H5775,H4480,1
H1432,H1431,1
H7725,H4480,1
H4503,H4480,1
H4092,H4084,1
H5879,H5869,1
H5414,H0014,1
H6912,H6913,1
H3500,H3503,1
H6413,H4480,1
H3071,H3068,1
H3071,H5251,1
H1320,H4480,1
H3725,H3722,1
H8147,H4480,1
H2022,H4480,1
H7117,H7099,1
H6603,H6605,1
H0234,H4480,1
H1500,H1497,1
H6485,H6487,1
H0398,H4480,1
H4283,H4480,1
H0428,H4480,1
H2930,H2933,1
H0398,H3605,1
H7114,H7614,1
H0157,H4480,1
H8636,H8635,1
H3465,H3462,1
H4603,H4604,1
H0929,H4480,1
H6299,H4480,1
H6639,H6638,1
H4994,H1980,1
H3474,H3477,1
H7065,H7068,1
H7121,H7148,1
H3340,H3339,1
H4421,H4480,1
H2568,H4480,1
H1425,H1410,1
H8135,H8130,1
H5761,H5757,1
H8543,H4480,1
H8478,H4480,1
H1854,H1851,1
H5674,H0935,1
H6578,H4480,1
H2076,H4480,1
H2740,H4480,1
H5375,H4480,1
H6965,H6963,1
H7628,H7617,1
H1166,H1167,1
H1069,H1060,1
H0009,H4480,1
H0413,H5921,1
H4962,H4462,1
H2914,H6076,1
H5641,H5640,1
H5927,H7837,1
H5397,H5314,1
H5045,H4480,1
H1419,H1366,1
H8388,H7417,1
H4604,H4603,1
H2204,H2205,1
H1157,H5774,1
H3814,H3909,1
H0561,H0559,1
H0595,H4480,1
H2896,H2895,1
H0769,H4480,1
H7453,H7474,1
H0356,H0436,1
H0802,H0376,1
H0376,H0802,1
H0517,H4480,1
H4959,H3237,1
H1931,H4480,1
H3027,H5221,1
H3467,H4480,1
H2337,H2336,1
H0215,H7200,1
H5860,H6213,1
H5240,H0959,1
H6086,H2671,1
H4634,H4630,1
H6431,H6430,1
H5770,H5771,1
H2671,H2678,1
H6191,H6196,1
H3614,H3820,1
H5750,H4480,1
H7586,H4480,1
H0622,H3254,1
H1732,H4480,1
H1262,H1254,1
H0376,H7760,1
H0113,H4480,1
H8141,H8147,1
H5975,H5976,1
H6950,H7035,1
H7864,H7724,1
H8462,H4480,1
H4055,H4067,1
H3429,H3427,1
H3429,H7675,1
H7969,H7970,1
H7969,H7992,1
H2428,H2416,1
