bhsa_strong,unmatched_count
H4480,206
H2426,10
H3881,6
H7451,5
H2416,4
H3605,4
H1992,4
H5805,4
H7646,4
H7456,4
H0136,3
H0376,3
H3462,3
H3569,3
H7200,3
H0729,3
H0853,3
H1004,3
H4390,3
H0413,3
H0408,3
H0410,3
H0536,3
H6041,3
H0607,3
H3266,2
H0216,2
H0910,2
H7118,2
H0579,2
H3423,2
H7564,2
H0935,2
H5921,2
H7874,2
H1847,2
H2029,2
H2563,2
H3254,2
H3372,2
H7760,2
H3746,2
H7675,2
H7970,2
H5375,2
H6440,2
H0905,2
H2030,2
H3651,2
H4751,2
H2790,2
H2875,2
H0776,2
H1696,2
H4686,2
H5703,2
H1632,2
H3559,2
H3318,2
H5013,2
H5975,2
H2677,2
H6942,2
H3188,2
H1431,1
H4084,1
H5869,1
H0014,1
H6913,1
H3503,1
H3068,1
H5251,1
H3722,1
H7099,1
H6605,1
H1497,1
H6487,1
H2933,1
H0176,1
H5785,1
H7614,1
H8635,1
H4604,1
H6638,1
H1980,1
H3477,1
H7068,1
H7148,1
H3339,1
H1410,1
H8130,1
H5757,1
H1851,1
H6963,1
H7617,1
H1167,1
H1060,1
H4462,1
H6076,1
H5640,1
H7837,1
H5314,1
H1366,1
H5159,1
H7417,1
H4603,1
H2205,1
H5774,1
H3909,1
H0559,1
H2895,1
H0058,1
H7474,1
H0436,1
H0802,1
H3237,1
H5221,1
H2336,1
H6213,1
H0959,1
H2671,1
H4630,1
H6430,1
H5771,1
H2678,1
H6196,1
H3820,1
H1254,1
H8147,1
H5976,1
H7035,1
H7724,1
H4067,1
H3427,1
H5722,1
H6112,1
H7992,1
H0834,1
H4428,1
H7572,1
H6961,1
H7126,1
H1908,1
H5414,1
H2428,1
H6240,1
H5181,1
H4163,1
H3107,1
H6904,1
H5077,1
H7393,1
H5892,1
H4600,1
H0193,1
H1252,1
H2661,1
H2798,1
H5768,1
H5264,1
H2356,1
H8085,1
H6095,1
H0219,1
H0196,1
H6823,1
H3669,1
H0971,1
H7426,1
H4325,1
H5674,1
H0887,1
H4474,1
H4882,1
H3826,1
H6091,1
H0901,1
H5336,1
H1473,1
H6564,1
H7911,1
H1409,1
H1094,1
H7650,1
H1819,1
H5331,1
H8076,1
H8077,1
H0457,1
H8325,1
H1771,1
H5704,1
H0346,1
H3064,1
H0527,1
H1767,1
H5020,1
H0127,1
H7563,1
H1157,1
H7654,1
H7080,1
H3932,1
H3996,1
H1835,1
H0235,1
H8577,1
H1277,1
H3782,1
H3201,1
H0520,1
H0741,1
H0398,1
H2233,1
H7651,1
H6349,1
H3802,1
H6217,1
H3138,1
H2573,1
H5868,1
H7270,1
H0328,1
H2574,1
H7227,1
H7674,1
H5237,1
H7945,1
H8056,1
H2470,1
H1961,1
H1214,1
H7489,1
H0784,1
H1419,1
H1979,1
H2181,1
H3335,1
H4058,1
H0622,1
H0953,1
H3248,1
H0937,1
H8074,1
H7198,1
H1219,1
H5288,1
H6840,1
H2167,1
H3295,1
H3381,1
H4035,1
H7291,1
H6736,1
H1417,1
H5068,1
H4168,1
H3415,1
H5218,1
H7442,1
H3373,1
H7460,1
H5344,1
H7878,1
H4911,1
H0344,1
H4100,1
H7738,1
H3861,1
H1931,1
H7379,1
H8205,1
H4066,1
H1197,1
H7281,1
H7321,1
H7119,1
H6149,1
H0973,1
H7311,1
H7114,1
H2890,1
H5307,1
H8032,1
H7521,1
H3599,1
H2738,1
H7063,1
H7463,1
H0010,1
H3045,1
H0518,1
H2958,1
H2158,1
H1335,1
H1314,1
H0612,1
H3708,1
H8630,1
H0970,1
H4592,1
H7368,1
H0238,1
H4262,1
H6862,1
H2342,1
H5751,1
H6822,1
H3973,1
H3789,1
H6259,1
H5300,1
H1086,1
H8001,1
H2402,1
H2818,1
H2072,1
H1121,1
H5378,1
H1937,1
H3328,1
H1449,1
H6358,1
H2490,1
H3808,1
H0743,1
H7230,1
H5030,1
H2438,1
H5930,1
H6251,1
H4842,1
H4318,1
H4191,1
H2719,1
