strong	gloss	translit
H1	father	av
H2	father	av
H3	greenery	ev
H4	fruit	ev
H5	Abagtha	a.vag.ta
H6	perish	a.vad
H7	destroy	a.vad
H8	destruction	o.ved
H9	something lost	a.ve.dah
H10	destruction	a.vad.don
H11	Abaddon	a.vad.don
H12	destruction	av.dan
H13	destruction	ov.dan
H14	be willing	a.vah
H15	oh that!	a.veh
H16	papyrus	e.veh
H17	pain!	a.voy
H18	crib	e.vus
H19	slaughter	iv.chah
H20	melon	a.vat.ti.ach
H21	Abi	a.vi
H22	Abiel	a.vi.el
H23	Abiasaph	a.vi.a.saph
H24	Abib	a.viv
H25	Abi-gibeon	a.vi giv.on
H26	Abigail	a.vi.ga.yil
H27	Abidan	a.vi.dan
H28	Abida	a.vi.da
H29	Abijah	a.viy.yah
H30	Abihu	a.vi.hu
H31	Abihud	a.vi.hud
H32	Abihail	a.vi.ha.yil
H33	Abiezrite	a.vi ha.ez.ri
H34	needy	ev.yon
H35	desire	a.viy.yo.nah
H36	Abitub	a.vi.tuv
H37	Abital	a.vi.tal
H38	Abijam	a.viy.yam
H39	Abimael	a.vi.ma.el
H40	Abimelech	a.vi.me.lekh
H41	Abinadab	a.vi.na.dav
H42	Abinoam	a.vi.no.am
H43	Ebiasaph	ev.ya.saph
H44	Abiezer	a.vi.e.zer
H45	Abi-albon	a.vi-al.von
H46	mighty	a.vir
H47	mighty	ab.bir
H48	Abiram	a.vi.ram
H49	Abishag	a.vi.shag
H50	Abishua	a.vi.shu.a
H51	Abishur	a.vi.shur
H52	Abishai	a.vi.shay
H53	Absalom	a.vi.sha.lom
H54	Abiathar	ev.ya.tar
H55	roll up	a.vakh
H56	mourn	a.val
H57	mourning	a.vel
H58	meadow	a.vel
H59	Abel	a.vel
H60	mourning	e.vel
H61	truly	a.val
H62	Abel-beth-maachah	a.vel bet-ma.a.khah
H63	Abel-shittim	a.vel hash.shit.tim
H64	Abel-keramim	a.vel ke.ra.mim
H65	Abel-meholah	a.vel me.cho.lah
H66	Abel-maim	a.vel ma.yim
H67	Abel-mizraim	a.vel mits.ra.yim
H68	stone	e.ven
H69	stone	e.ven
H70	wheel	o.ven
H71	Abana	a.va.nah
H72	Ebenezer	e.ven ha.e.zer
H73	girdle	av.net
H74	Abner	av.ner
H75	fatten	a.vas
H76	boil	a.va.bu.ah
H77	Ebez	e.vets
H78	Ibzan	iv.tsan
H79	wrestle	a.vaq
H80	dust	a.vaq
H81	aromatic powder	a.va.qah
H82	fly	a.var
H83	wing	e.ver
H84	pinion	ev.rah
H85	Abraham	av.ra.ham
H86	bow	av.rekh
H87	Abram	av.ram
H88	Oboth	o.vot
H89	Agee	a.ge
H90	Agag	a.gag
H91	Agagite	a.ga.gi
H92	band	a.gud.dah
H93	nut	e.goz
H94	Agur	a.gur
H95	piece	a.go.rah
H96	drop	e.gel
H97	Eglaim	eg.la.yim
H98	pool	a.gam
H99	grieved	a.gem
H100	bulrush	ag.mon
H101	vessel	ag.gan
H102	band	ag.gaph
H103	gather	a.gar
H104	letter	ig.g.ra
H105	basin	a.gar.tal
H106	fist	eg.roph
H107	letter	ig.ge.ret
H108	mist	ed
H109	grieve	a.dav
H110	Adbeel	ad.be.el
H111	Hadad	a.dad
H112	Iddo	id.do
H113	lord	a.don
H114	Addon	ad.don
H115	Adoraim	a.do.ra.yim
H116	then	e.da.yin
H117	great	ad.dir
H118	Adalia	a.dal.ya
H119	redden	a.dam
H120	man	a.dam
H121	Adam	a.dam
H122	red	a.dom
H123	Edom	e.dom
H124	sardius	o.dem
H125	reddish	a.dam.dam
H126	Admah	ad.mah
H127	land	a.da.mah
H128	Adamah	a.da.mah
H129	Adami	a.da.mi
H130	Edomite	e.do.mi
H131	Adummim	a.dum.mim
H132	red	ad.mo.ni
H133	Admatha	ad.ma.ta
H134	socket	e.den
H135	Addan	ad.dan
